date,content
"""신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""부위가 다양해요""",이 키워드를 선택한 인원
"""원산지 표시가 명확해요""","""원산지 표시가 명확해요"""
"""양이 많아요""",이 키워드를 선택한 인원
"""포장이 깔끔해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""특색 있는 제품이 많아요""","""특색 있는 제품이 많아요"""
"""선물하기 좋아요""",이 키워드를 선택한 인원
"""식사하기 좋아요""",이 키워드를 선택한 인원
10.19.일,"벌써 몇 번째 방문인지 모르겠네요. 애정하는 동네 단골집이라 리뷰는 다소 늦은감이 있습니다만, 동네 분들께 자신있게 추천할 수 있는 집입니다. 고기의 품질은 당연히 훌륭하고 무엇보다 친절한 사장님이 돋보입니다. 돼지고기도 다른 집에서는 보기 힘든 손이 많이가는 부위들을 구매할 수 있고 소고기도 등급이 높은 물건들만 판매하시는 듯 합니다. 앞으로도 지속적으로 애용할 생각입니다. 추천합니다."
9.28.일,리뷰를 안써도 될만큼 무지 친절하세요 아빠와 아들 숙취에 해장국 으로 육개장을 끓였네요 맛있고 좋은 부위를 청결히 작업하여 주셨어요 부드럽고 진하게 맛나게 먹었습니다 번창하세요~~^^!!!
9.20.토,항상 친절하시고 잘해주십니다! 고기 질도 좋고 설명도 잘해주십니다 ㅎㅎ 자주 이용하고 있습니다 강추 드립니다 ^^
9.7.일,안심 스테이크 용으로 컷팅 해주셔서 너무 좋은 고기 샀어요. 회원가입 했더니 양념 고기를 저렇게 많이 주셔서 자주 구매하러 와야겠어요 고기 직접 손질하시는거 보니 완전 베테랑이신거 같아요 동네에 좋은 정육점이 있어서 너무 좋네요 사장님도 너무 친절하세요 앞으로 자주 구매하러 갈 예정이에요
9.1.월,"고기는 늘 여기서 사요~ 친절도 최고! 신선도 최상! 푸른축산이 집 가까이 있어서 너무 좋습니다~ 돼지 목살 양념구이 넘 맛있게 먹었구요, 내일은 원팬 등갈비 해서 먹으려구요 👍"
8.30.토,아기 이유식 제조용 한우 구매하러 갔는데 고기질이 엄청 좋네요. 7개월 아이도 잘 먹구요. 여기로 정해서 가려구요. 추천랍니다
