date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""건강한 맛이에요""",이 키워드를 선택한 인원
24.2.17.토,다 구워줘서 편하게 먹을수 있어서 좋은점 금방 식어서 다소 아쉬운점
23.9.11.월,무심코 주문했는데 완전 대만족! 고기도 두툼한데 바짝 구워져서 엄청 맛있고 고기 잡내나 누린내 잔혀 없어요 고기 질이 좋아요 볶음밥은 매장에서 먹는 맛! 같아요~ 4종 소스에 있는 카레나 양념치킨소스 완전 특이한데 고기랑 찍어먹으니까 색다른 맛이에요👍 늦은 점심으로 먹었는데 너무 맛있게 잘먹었어요~
24.2.9.금,고기가 두툼한데 속에까지 잘 익고 타지도 않으면서 기름기도 없이 어떻게 이렇게 구우시는지 진짜 맛있습니닷~!
23.8.27.일,"진짜 맛있어용!💜 고기도 맛있고 짜글이찌개도 맛있고 함께 온 반찬류', 소스류도 맛있습니다😋"
23.10.28.토,반응 남기기 방문일 23.10.28.토 2023년 10월 28일 토요일 1번째 방문 인증 수단 영수증
24.2.4.일,반응 남기기 방문일 24.2.4.일 2024년 2월 4일 일요일 1번째 방문 인증 수단 영수증
23.9.1.금,반응 남기기 방문일 23.9.1.금 2023년 9월 1일 금요일 1번째 방문 인증 수단 영수증
