date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""아이와 가기 좋아요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
4.10.목,프랭크버거 먹은후 다른 브랜드버거 못먹어요 맛나고 안에 양파볶은것도 킥인듯 강추강추 친절하시구요 ^^~ 치즈볼 치즈가듬뿍 굿입니다
3.16.일,은혜로운 가심비 대박 힐링푸드 ✨️✨️✨️✨️✨️✨️ 프랭크버거 왕십리텐즈힐점 성공적 👍🤗🍔🙆🍟🥤⚽️🐓🇬🇧🎆
9.14.일,반응 남기기 방문일 9.14.일 2025년 9월 14일 일요일 3번째 방문 인증 수단 영수증
7.22.화,반응 남기기 방문일 7.22.화 2025년 7월 22일 화요일 1번째 방문 인증 수단 결제내역
4.15.화,프랭크버거를 아이들이 좋아하여 종종 이용합니다. 재료가 신선하고 맛도 좋아요~ 늘 친절하시고 매장도 깔끔해요~
4.25.금,반응 남기기 방문일 4.25.금 2025년 4월 25일 금요일 2번째 방문 인증 수단 영수증
9.19.금,반응 남기기 방문일 9.19.금 2025년 9월 19일 금요일 1번째 방문 인증 수단 영수증
2.2.일,프랭크 버거 너무 맛있어욧!! 매장 넓직하네요ㅎㅎㅎ 늦게까지 운영해서 좋아욘
