date,content
"""재료가 신선해요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""룸이 잘 되어있어요""",이 키워드를 선택한 인원
6.20.금,종류가 되게 다양해서 선택의 폭이 넓고 내용물도 신선하고 알차서 좋아요 바쁠 때 간편하고 빠르게 사서 나올 수 있고 사장님이 친철해요ㅋㅋ 왠지 믿고 먹을 수 있는 느낌🤭🤭
4.3.목,와우 언제생겻지 ❇️대박사건✅거리도 가까워서 종종방문할듯해요. Tmi 평일점심 회사밥은 안먹은지 오래되어서ㅎ 가끔건너뛰거나 노웰빙으로(?대충떼우기일상이엿는데 이제는그럴거없이 여기에서(?건강식 🧃🥗🍜간편식으로 떼울수 잇을거같다💚종류도 편의점같이 다양햇고 테이블은 하나지만 특히 전자레인지도 잇어서 잠깐 앉아서 데워서 먹을수도 잇게 마련되잇엇다🥡기회가된다면 구독도 나쁘지않을거같아서 일단찍🤳메모
6.20.금,맛있어요! 간편하게 먹을 수 있어서 좋아요 정말 친절하세요!
2.25.화,가성비좋은 성수 샐러드 샌드위치 집이 생겨서 너무 좋네요. 핫추천 샐러드로 먹었는데 소스가 제공되서 넘 좋았어요. 다양하게 여러가지 먹을 수 있어 행복했습니다^^ 신선 아삭 포만감 그득 잘먹었습니다
4.21.월,여기 무인으로 운영중이라 혼밥하기 좋고 가격이 말도안되게 저렴한데 샐러드 샌드위치 컵라면 우유 등등 정말 신선한 재료로 만든 웰빙푸드들이 많습니다^^ 흑임자우유에 닭가슴살샐러드&샌드위치 먹었는데 9400원나옴 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
5.16.금,식단 관리를 할 수 있는 다양한 제품이 있어서 좋아요! 여기 뚝섬역 앞이라 접근성도 너무 좋고 제품도 다 신선해요 사장님도 우연히 만났는데 너무 친절해요 ㅠㅠ여기 가세요!!!! 제발요!!!!!
2.22.토,"매장이 깔끔하고 시중에 나오는 단백질바나 쉐이크, 간식들이 거의 다 있어서 너무 좋아요! 샐러드나 과일도 무른 것 없이 신선하고 관리가 잘 되는 것 같아요 매장에 없는 상품도 매장 내 화이트보드에 적어두면 사장님이 보시고 입고해 주신다고 해서 적어두고 왔어요~ 뚝섬역 바로 부근이라 위치도 좋아서 건강하게 먹고싶을 때 자주 방문할 것 같아요. 추천합니다👍"
2.19.수,샐러드랑 샌드위치 종류도 많고 다이어트 식품들 다양하ㅔ 준비되어있어서 정말 좋아요! 여기 오려고 뚝섬역까지 일부러 방문합니다:) 앞으로도 좋은 제품들 부탁드려요!
1.22.수,샌드위치나 샐러드 등 다양한 다이어트 제품들을 한곳에서 24시간 맛볼 수 있다는 장점있어서 자주 방문할거같구요! 근처 회사단지인데 굳이 회사에서먹지않아도 먹을곳이 내부에 있다는 장점! 가격도 미리 선결제시 포인트처럼 쌓아주는게 너무좋은듯 해요
