date,content
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""주문제작을 잘해줘요""",이 키워드를 선택한 인원
"""선물하기 좋아요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""빵이 맛있어요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""야외공간이 멋져요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""종류가 다양해요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
10.3.금,포장도 너무 이쁘고 이벤트로 받은 두바이초코 보틀도 너무 맛있었습니다. 허허..제가 중간에 넘어져서 일부저래되었지만 검은색이라 많이 티가 안나서 다행이였습니다.고급스럽고 맛있어서 남자친구도 너무 좋아하더라구요ㅎㅎ 덕분에 즐거운 생일파티를 하였습니다. 다음에도 여기서 구매하려구요😆 번창하세요!!
9.6.토,특별한 날을 위한 케이크로 준비하기 딱이에요 ! 예쁘고 고급스러워서 친구들이 너무 좋아해요 ! 매장도 깔끔하고 케이크도 맛있어요 ! 급하게 예약했지만 다들 만족 이상인 케이크였습니다 ! 다음에 또 예쁜 케이크 사러갈게요 ! ♥
9.26.금,세번째 프롬포 !!!! 이번엔 시그니처 케이크🎂 고급스러움의 절정체👍 초코멜로맛 너무너무 맛있어요🙌 앞으로도 기념일엔 프롬포를 찾을것 같아요😍 사장님의 친절함도 너무 좋았답니다👩‍❤️‍💋‍👨
9.14.일,매장이 작은데 예뻐요 테라스도 있는데 넓고 조용해서 다음엔 테라스에서 커피랑 마시러 오려구요☺️ 케이크 문의해주신 색상으로 변경도 해주셨는데 너무 예뻐서 선물이랑 하기 정말 좋았어요 단골 케이크 선물샵 될 것 같아요🧡
