date,content
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""선물하기 좋아요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""종류가 다양해요""",이 키워드를 선택한 인원
"""주문제작을 잘해줘요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
9.12.금,이런 귀엽고 아기자기한 매장이 인근에 있다니 너무 행복하네요 부담없이 선물하기 좋은 사이즈도 있어용 초도 귀여운게 많아요!
10.15.수,부서원 생일때마다 들르는 케이크맛집입니다. 달달한 음식 싫어하는 어르신들도 너무좋아하세요 딸기가 제철이 아닐 때에도 신선한 딸기를 맛볼수있어요!
9.30.화,"언니 생일이라 꿀바밤바무화과 미니로 주문해봤는데 너무 예쁘고 너어무 맛있어요 무화과는 신선하고 중간에 밤무스가 또 들어가서 계속 퍼먹게 되는 맛입니다...🤤 네이버로 미리 예약하시면 레터링도 추가할 수 있고, 매장에서는 귀여운 초랑 키링도 팔더라구요 무엇보다 직원분들이 다 예쁘고 친절하십니다🤭🤍 다음에 기회되면 또 사러 갈게요!"
9.28.일,매번 케이크 여기서사먹습니당 n회차 구매중인데 엄마아빠도 넘 좋아하고 최고 케이크 맛집입니다!!!
10.2.목,동네 주민이라 생일마다 방문하고 있어요❤️❤️ 친절하고 맛있고 다하는 플세권이라 너무 좋아요 ㅎㅎ 무화과 케이크는 꼭 드셔보세요
9.24.수,오랜만에 만나는 친구한테 선물로 주려고 방문했어요! 케이크가 너무 예쁘더라구요:) 다음에도 선물할 일 있으면 방문하겠습니다. 직원분들도 너무 친절하셔서 좋은 마음으로 선물할 수 있었습니다😍🥰😘
9.13.토,오늘 엄마의 생신이여서 미리 케이크를 예약해 주문해서 생일 축하를 했어요~!! 복숭아 시즌이라 복숭아 케이크로 했는데 역시 👍 맛있네요♡ 초를 꽂고 찍지 못해 아쉽지만 성수동 케이크 맛집 인정이에요!! 10월 생일에도 맛난 케이크 사러 올께요^^
10.2.목,무화과 케이크 너무 맛나게 잘 먹었어요 부모님이 너무 좋아하셨어요!
10.14.화,딸기케이크 시트 촉촉하고 맛있어요! 동물성 생크림이라서 크림도 맛있네요! 둘이서 작은 사이즈 배부르게 먹었어요! 지금은 무화과 철이라서 무화과 케이크 판매하는데 무화과맛도 궁금해요
