date,content
22.3.15.화,반응 남기기 방문일 22.3.15.화 2022년 3월 15일 화요일 1번째 방문 인증 수단 영수증
21.12.1.수,반응 남기기 방문일 21.12.1.수 2021년 12월 1일 수요일 1번째 방문 인증 수단 영수증
21.11.5.금,반응 남기기 방문일 21.11.5.금 2021년 11월 5일 금요일 1번째 방문 인증 수단 영수증
21.9.10.금,무신사 제품 FLASK제품의 향연 모델 뺨치는 샾마스터님과 즐거운 쇼핑도 좋았던 곳 방문추천합니다. 양가죽 제품을 다양하게 만날 수 있었네요
21.6.16.수,반응 남기기 방문일 21.6.16.수 2021년 6월 16일 수요일 1번째 방문 인증 수단 영수증
21.6.12.토,반응 남기기 방문일 21.6.12.토 2021년 6월 12일 토요일 1번째 방문 인증 수단 영수증
21.4.28.수,사고 다음주에 다시 가니 5만원 더 할인하고 있네요.. 하하 일주일 먼저 산 제 잘못이죠
21.4.17.토,반응 남기기 방문일 21.4.17.토 2021년 4월 17일 토요일 1번째 방문 인증 수단 영수증
21.4.3.토,롸이더 자켓 샀더니 갱얼쥐 악세사리 주셨어요 넘나 감솨함니다💗💗
21.3.28.일,친절하세용 옷이뻐용 근데 영수증을 잘못주셧어용
21.3.28.일,반응 남기기 방문일 21.3.28.일 2021년 3월 28일 일요일 1번째 방문 인증 수단 영수증
21.3.20.토,반응 남기기 방문일 21.3.20.토 2021년 3월 20일 토요일 1번째 방문 인증 수단 영수증
21.3.7.일,가죽자켓 샀어요 맘에 들어요
21.3.7.일,반응 남기기 방문일 21.3.7.일 2021년 3월 7일 일요일 1번째 방문 인증 수단 영수증
21.2.20.토,반응 남기기 방문일 21.2.20.토 2021년 2월 20일 토요일 1번째 방문 인증 수단 영수증
20.11.20.금,반응 남기기 방문일 20.11.20.금 2020년 11월 20일 금요일 1번째 방문 인증 수단 영수증
20.10.29.목,반응 남기기 방문일 20.10.29.목 2020년 10월 29일 목요일 1번째 방문 인증 수단 영수증
20.8.30.일,반응 남기기 방문일 20.8.30.일 2020년 8월 30일 일요일 1번째 방문 인증 수단 영수증
20.6.28.일,반응 남기기 방문일 20.6.28.일 2020년 6월 28일 일요일 1번째 방문 인증 수단 영수증
20.6.17.수,이쁜 옷이 진짜 많더라구요ㅎㅎ 동생이랑 가서 세 벌이나 샀어요ㅎㅎ
20.6.17.수,"옷 예쁘고, 친절하시구 좋아요!"
20.6.17.수,옷이 너무너무 예뻐서 보자마자 샀어요. 사장님도 친절하시구 좋아요~
20.4.25.토,사장님도 친절하시구 분위기도 좋았어요
20.2.5.수,반응 남기기 방문일 20.2.5.수 2020년 2월 5일 수요일 2번째 방문 인증 수단 영수증
20.1.19.일,반응 남기기 방문일 20.1.19.일 2020년 1월 19일 일요일 1번째 방문 인증 수단 영수증
19.7.19.금,세일할때 종종 가면 좋을꺼같아요! 디자인도 많고 괜찮아요!
19.7.18.목,#서울숲 #옷가게  저렴하게 옷 살 수 있어요
