date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
9.3.수,가오픈 때부터 꾸준히 방문하는 제 최애 카페입니다! ◕‿‿◕ 우선 사장님이 메뉴에 정성을 많이 들이신 게 느껴지고 제가 먹어본 모든 메뉴가 진짜 맛있습니당 👍🏻 신메뉴도 트렌드에 맞춰서 자주 나오는 편인 것 같아요! 양도 다른 카페는 마실 때마다 쭉쭉 줄어드는 게 보이는데 플란테는 엄청난 혜자라 음료로 배 채우기가 가능합니다 ㅋㅋㅋㅋ🤭 인테리어도 하나하나 신경 쓰신 게 티가 나고 아기자기 너무 귀여워요… 계절마다 조금씩 달라져서 보는 재미가 있더라구요!! 전반적으로 곰돌이가 생각나는 사랑스러운 무드라 갈 때마다 기분이 좋아져요 🐻🍯 영원히 단골하고 싶습니다 오래오래 건강하시구 번창하세요!!
8.22.금,커피도 맛있고 친구들과 대화하기도 좋아요 💯💯👍👍 추천이요💯❤️
24.12.27.금,1. 샌드위치랑 음료 진짜 존맛 (버터스카치라떼는 꼭 드셔보세요!)  2. 가격이 넘 합리적이라 데일리로 오기 좋음  3. 아늑하고 따스한 분위기라 맘이 편해짐  결론: 또 먹고싶다...🤤
24.10.19.토,친구들이랑 브런치먹으려고 방문했어요! 성수에 있는 다른 가게들과 달리 가성비가 너무 좋고 아늑해서 있는 내내 편안했어요~~ 샌드위치 재료들이 너무 신선해서 꽉꽉 채워져 있어서 맛있어요!!!! 재방문 의사 있습니다~~~ 다음엔 피자 먹어보려구요
24.10.19.토,길걷다가 우연히 발견한 카페인데 인테리어도 너무 심플하고 아기자기해서 맘에들었는데 사장님도 친절하시구 에그마요가 진짜 푸짐하고 너무맛있습니다:) 베스트 메뉴일만해요!! 혼자 조용히 맛있는 에그마요에 힐링하고왔어요ㅎㅎㅎ
24.9.10.화,성수 샌드위치 유목민인데 가오픈 때 우연히 알게 돼서 벌써 3번 방문했어요! 나만 알고 싶은 집이지만.. 오래오래 잘 되시라고 후기 남겨요!! ㅎ 도장 깨기 하듯 하나씩 맛보고 있는데 드레싱도 적절하고 바게뜨 샌드위치를 좋아해서 제입맛엔 취저입니당 매콤한 거 좋아하시면 이탈리안 추천드려요 ㅎ 무엇보다 북적거리지 않고 음악 들으면서 쉴 수 있어서 너무 좋네요 ㅎ 번창하세요~!!
24.9.21.토,"성수동 신상 카페 발견했어요. 깔끔한 카페네요. 오픈주방입니다. 내부는 달달 허니컬러^^ 연인들끼리, 여자 친구랑이 놀러오기 좋아요.  한강가는 길에 피크닉용 샌드위치 사기 딱 좋은 위치네요. 샌드위치도 신선한 재료로 만들어서 맛있어요.  사장님 진짜 친절하세요^^"
24.12.20.금,샌드위치가 너무 실하네요. 맛은 두 말할 필요 없고요. 커피도 합리적인 가격!!  분위기도 대화나누기 너무 좋았어요.
24.10.19.토,"음식이 너무 맛있고, 동네도 조용하구 카페 분위기도 아기자기한게 너무 좋아요~💕 샌드위치 양도 많구 커피도 완전 맛있어용ㅋㅋㅋㅋ 또 올 의사 1000000000%입니다~~"
24.8.31.토,새로생겨서 방문했는데 분위기도 좋고 깔끔하요 샌드위치도 알차고 맛있구 피자도 맛있어욤 아망추도 첨먹어보는데 맛있음다 자주올게용!!
24.8.31.토,"가오픈했다는 귀여운 곳이 생겨서 가봤는데 샌드위치도 건강하니 맛나고, 페퍼로니 피자도 맛있어요!!!!!박살냈습니당👊🏻👊🏻👊🏻👊🏻흥했으면 좋겠어요 사장님도 친절하세용👍🏻💕"
24.9.27.금,고민하다가 비엘티 시켜서 바로 먹지는 않고 3시간 정도 뒤에 먹었는데도 맛있었어요!
3.31.월,반응 남기기 방문일 3.31.월 2025년 3월 31일 월요일 1번째 방문 인증 수단 영수증
24.8.31.토,샌드위치 맛있어요! 사장님도 친절하세요
24.8.31.토,사장님이 너무 친절해요ㅠㅠ 샌드위치도 양 진짜 많구 신선해용! 자주 애용할거 같아요!!!번창하세용!!!
