date,content
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""반려동물과 가기 좋아요""","""반려동물과 가기 좋아요"""
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""종류가 다양해요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""차가 맛있어요""",이 키워드를 선택한 인원
9.10.수,"오랜만에 온 카페... 여전히 편안한 분위기에 시원하고 상큼한 에이드, 고소하고 맛있는 땅콩빵까지 넘넘 좋았어요. 주위에 시끄러운 카페가 싫고 조용한 곳을 원하는 분들께 추천합니다."
9.1.월,메뉴가 진짜 다양함
5.29.목,가성비가 좋은 곳입니다
5.12.월,산책하다가 강아지랑 함께 방문했는데 야외석에 시원하게 앉아서 한잔 마시기 너무 좋았습니다❤️
24.10.10.목,"플러스82 성동구점 아메리카노 맛있고, 블루베리 바나나 음료는 재료를 듬뿍 넣었는지 너무 맛있어요. 항상 즐겨 찾고 싶은곳이예요. 사장님이 친절하고 항상 미소가득 하시네요."
24.9.19.목,핫도그는 매장서 먹어 보고 맛있어서 이번엔 포장배달 해봤는데 여전히 배달도 너무 맛있어요~ 음료는 아이스티에 망고 추가~ 아망추!! 첨 먹어봤는데 얘도 핫도그랑 딱 어울리는 맛이에요..ㅎ 망고 양도 많고 아이스티가 맛이 진해서 얼음 좀 더 넣어서 여럿이 나눠 먹었어요. 가성비도 훌륭합니다. 나중에도 이조합으로 또 시킬게요. 잘 먹었습니다~^^
24.9.15.일,"산미없는 커피가 먹고 싶어 구수한 맛을 택했는데 부드럽고 너무 맛있었어요. 블루베리크림치즈토스트 빵은 빠삭하고 적당히 달달해서 좋았고, 추가 주문한 카야버터크로플도 정말 맛있었어요. 조금 프레시하고 덜 단 초록색 카야잼을 사용해서 더 맛있었습니다. 달달한 디저트와 구수한 커피로 딸과의 데이트가 더 행복했네요~"
5.8.목,가성비 좋아요 즐거운 어버이날보냈어요~ 사장님친절하세요
24.9.10.화,"끊을 수 없는 플러스82카페 성동구점 인것 같아요. 블루베리바나나 가 양도 많고 맛도 풍부하고 엄청 맛있어요. 또 방문할거예요. 사장님, 맛있게 만들어 주셔서 고맙습니다. ❤"
