date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
6.28.토,반응 남기기 방문일 6.28.토 2025년 6월 28일 토요일 2번째 방문 인증 수단 영수증
2.27.목,토핑도 가득하고 치즈도 가득🧀🍕 너무 맛있어요!!! 프랜차이즈 피자보다 훨씬 맛남!!
2.3.월,15년 넘게 단골입니다. 성수동중에 피자 원탑 맛집!!
24.9.23.월,옥수수많이 요청드렸는데 진짜 많이 주셔서 넘 행복해요🧡 맛은 물론이고 넘 친절하세요! 동네 최고 피자 맛집입니다~~
24.6.9.일,이 가격에 이정도 푸짐함은 처음봐요 ㅠㅠ 치즈 많이 넣어주신게 느껴지고 피자박스 들었을 때 무게감부터 다르네요. 포테이토 불고기 두가지 다 맛있고 너무 자극적인 맛이 아니라 기분좋게 먹었어요 사장님도 넘 친절하셔요
24.8.24.토,반응 남기기 방문일 24.8.24.토 2024년 8월 24일 토요일 1번째 방문 인증 수단 영수증
24.6.7.금,송정동 1등피자에용 넘 맛잇아요
24.8.4.일,반응 남기기 방문일 24.8.4.일 2024년 8월 4일 일요일 9번째 방문 인증 수단 영수증
24.3.8.금,도우도 그리 두껍지 않고 바싹하니 맛있고 재료도 듬뿍 들어가고 특히 치즈가 흘러내릴 정도로 푸짐하게주세요 치즈스파게티도 치즈반 면반이예요 늘한결같이 맛있어요 👍👍
23.12.24.일,다시 돌아오셔서 기쁨 치즈 많이 넣어주심
24.4.10.수,반응 남기기 방문일 24.4.10.수 2024년 4월 10일 수요일 1번째 방문 인증 수단 영수증
23.7.4.화,영수증 리뷰 귀찮아서 안남기지만 이집은 정말 싸고 맛있네요..도우를 직접 반죽하시던데 그래서인지 빵이 여느 피자집보다 맛있습니다. 배달비 천원에 가성비 정말 최곱니다
23.11.7.화,반응 남기기 방문일 23.11.7.화 2023년 11월 7일 화요일 6번째 방문 인증 수단 영수증
23.4.24.월,ㅜㅜ갓혜자 갓엉클 갓성비 ㅜㅜ
23.4.21.금,성수 일짱 근본 피자
23.2.4.토,다른 리뷰들 보고 혹해서 가봤는데 진짜 토핑 양도 많고 대혜자에요 맛있어요! 사장님이 재료 커스터마이즈도 잘 해주셨고 친절하셨어요 꼭 또 갈게용
23.3.12.일,불고기피자 고구마 피자 넘 맛있어요 ~~^^
23.8.21.월,반응 남기기 방문일 23.8.21.월 2023년 8월 21일 월요일 5번째 방문 인증 수단 영수증
