date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
24.5.2.목,피자는 생각보다 비쌈. 치킨은 좋앙.
24.5.4.토,반응 남기기 방문일 24.5.4.토 2024년 5월 4일 토요일 2번째 방문 인증 수단 영수증
24.5.19.일,반응 남기기 방문일 24.5.19.일 2024년 5월 19일 일요일 3번째 방문 인증 수단 영수증
23.11.17.금,아이가 피자파는집 딥 고구마 피자를 좋아해요. 가격대비 피자가 맛있어요~
23.1.6.금,원래 먹는거 따로 있었는데 이번에는 인기 있는갈로 주문해봤는데 너무너무 맛있어요❤️❤️❤️ 핫소스도 더 주시고 너무 감사해요 다음에 떠 시켜먹을게용!!!
23.5.28.일,반응 남기기 방문일 23.5.28.일 2023년 5월 28일 일요일 3번째 방문 인증 수단 영수증
22.10.15.토,동네여서 자주 가는데 피자 맛나요!
22.11.11.금,반응 남기기 방문일 22.11.11.금 2022년 11월 11일 금요일 1번째 방문 인증 수단 영수증
22.10.24.월,반응 남기기 방문일 22.10.24.월 2022년 10월 24일 월요일 10번째 방문 인증 수단 영수증
22.9.6.화,동네 단골이예요 맛있어용ㅎㅎ
22.8.27.토,반응 남기기 방문일 22.8.27.토 2022년 8월 27일 토요일 9번째 방문 인증 수단 영수증
22.8.30.화,반응 남기기 방문일 22.8.30.화 2022년 8월 30일 화요일 1번째 방문 인증 수단 영수증
22.6.19.일,반응 남기기 방문일 22.6.19.일 2022년 6월 19일 일요일 2번째 방문 인증 수단 영수증
22.5.22.일,반응 남기기 방문일 22.5.22.일 2022년 5월 22일 일요일 1번째 방문 인증 수단 영수증
22.6.15.수,반응 남기기 방문일 22.6.15.수 2022년 6월 15일 수요일 1번째 방문 인증 수단 영수증
22.6.4.토,반응 남기기 방문일 22.6.4.토 2022년 6월 4일 토요일 8번째 방문 인증 수단 영수증
22.4.3.일,"토핑도 가득하고, 맛있습니다~"
22.12.23.금,반응 남기기 방문일 22.12.23.금 2022년 12월 23일 금요일 1번째 방문 인증 수단 영수증
22.5.18.수,반응 남기기 방문일 22.5.18.수 2022년 5월 18일 수요일 1번째 방문 인증 수단 영수증
22.4.15.금,반응 남기기 방문일 22.4.15.금 2022년 4월 15일 금요일 7번째 방문 인증 수단 영수증
22.4.15.금,반응 남기기 방문일 22.4.15.금 2022년 4월 15일 금요일 6번째 방문 인증 수단 영수증
22.4.16.토,반응 남기기 방문일 22.4.16.토 2022년 4월 16일 토요일 1번째 방문 인증 수단 영수증
22.1.23.일,배달 시켜먹었는데 괜찮앙르
22.4.16.토,피자는 먹어도 또 먹고 싶네요
22.4.13.수,반응 남기기 방문일 22.4.13.수 2022년 4월 13일 수요일 1번째 방문 인증 수단 영수증
22.6.24.금,반응 남기기 방문일 22.6.24.금 2022년 6월 24일 금요일 2번째 방문 인증 수단 영수증
22.3.26.토,반응 남기기 방문일 22.3.26.토 2022년 3월 26일 토요일 1번째 방문 인증 수단 영수증
22.2.12.토,반응 남기기 방문일 22.2.12.토 2022년 2월 12일 토요일 5번째 방문 인증 수단 영수증
22.2.12.토,반응 남기기 방문일 22.2.12.토 2022년 2월 12일 토요일 4번째 방문 인증 수단 영수증
22.1.23.일,반응 남기기 방문일 22.1.23.일 2022년 1월 23일 일요일 1번째 방문 인증 수단 영수증
22.1.9.일,반응 남기기 방문일 22.1.9.일 2022년 1월 9일 일요일 3번째 방문 인증 수단 영수증
22.1.18.화,반응 남기기 방문일 22.1.18.화 2022년 1월 18일 화요일 1번째 방문 인증 수단 영수증
21.9.24.금,양이 정말 많고 맛있습니다!👍🏼 번창하세요~~~❣️
21.11.27.토,반응 남기기 방문일 21.11.27.토 2021년 11월 27일 토요일 2번째 방문 인증 수단 영수증
21.11.14.일,반응 남기기 방문일 21.11.14.일 2021년 11월 14일 일요일 1번째 방문 인증 수단 영수증
22.4.15.금,피자는 매일 먹어도 ~굿
21.3.13.토,넘 가성비 좋고 맛도 있어요!! 담에도 시켜 먹을게요!
21.4.4.일,반응 남기기 방문일 21.4.4.일 2021년 4월 4일 일요일 1번째 방문 인증 수단 영수증
21.3.5.금,반응 남기기 방문일 21.3.5.금 2021년 3월 5일 금요일 1번째 방문 인증 수단 영수증
21.3.17.수,반응 남기기 방문일 21.3.17.수 2021년 3월 17일 수요일 1번째 방문 인증 수단 영수증
