date,content
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""종류가 다양해요""",이 키워드를 선택한 인원
"""품질이 좋아요""",이 키워드를 선택한 인원
"""특색 있는 제품이 많아요""","""특색 있는 제품이 많아요"""
"""시설이 깔끔해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""분위기가 편안해요""",이 키워드를 선택한 인원
"""아기자기해요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
9.21.일,반응 남기기 방문일 9.21.일 2025년 9월 21일 일요일 13번째 방문 인증 수단 영수증
8.24.일,아이스크림 사기에 좋아요
8.21.목,반응 남기기 방문일 8.21.목 2025년 8월 21일 목요일 12번째 방문 인증 수단 영수증
7.8.화,반응 남기기 방문일 7.8.화 2025년 7월 8일 화요일 11번째 방문 인증 수단 영수증
6.12.목,반응 남기기 방문일 6.12.목 2025년 6월 12일 목요일 6번째 방문 인증 수단 영수증
6.12.목,반응 남기기 방문일 6.12.목 2025년 6월 12일 목요일 10번째 방문 인증 수단 영수증
1.14.화,술먹고 항상 방문하는곳! 아이스크림 해장 최고👍
24.12.9.월,반응 남기기 방문일 24.12.9.월 2024년 12월 9일 월요일 9번째 방문 인증 수단 영수증
24.12.3.화,반응 남기기 방문일 24.12.3.화 2024년 12월 3일 화요일 5번째 방문 인증 수단 영수증
24.11.26.화,반응 남기기 방문일 24.11.26.화 2024년 11월 26일 화요일 8번째 방문 인증 수단 영수증
24.11.15.금,반응 남기기 방문일 24.11.15.금 2024년 11월 15일 금요일 7번째 방문 인증 수단 영수증
24.11.11.월,반응 남기기 방문일 24.11.11.월 2024년 11월 11일 월요일 4번째 방문 인증 수단 영수증
24.11.11.월,반응 남기기 방문일 24.11.11.월 2024년 11월 11일 월요일 6번째 방문 인증 수단 영수증
24.10.23.수,반응 남기기 방문일 24.10.23.수 2024년 10월 23일 수요일 5번째 방문 인증 수단 영수증
24.10.12.토,반응 남기기 방문일 24.10.12.토 2024년 10월 12일 토요일 4번째 방문 인증 수단 영수증
24.10.8.화,저렴하고 다양한 아이스크림 좋아요ㅎ~
24.9.3.화,반응 남기기 방문일 24.9.3.화 2024년 9월 3일 화요일 1번째 방문 인증 수단 영수증
24.6.7.금,편리하고 이용하기 좋아요
24.4.6.토,반응 남기기 방문일 24.4.6.토 2024년 4월 6일 토요일 1번째 방문 인증 수단 영수증
24.2.6.화,동네 아이스크림 핫플
24.1.17.수,반응 남기기 방문일 24.1.17.수 2024년 1월 17일 수요일 3번째 방문 인증 수단 결제내역
23.11.14.화,표준 셀프 아이스크림 가계 좋아요.
23.10.3.화,반응 남기기 방문일 23.10.3.화 2023년 10월 3일 화요일 4번째 방문 인증 수단 영수증
23.10.1.일,반응 남기기 방문일 23.10.1.일 2023년 10월 1일 일요일 3번째 방문 인증 수단 영수증
23.9.8.금,반응 남기기 방문일 23.9.8.금 2023년 9월 8일 금요일 1번째 방문 인증 수단 영수증
23.9.7.목,반응 남기기 방문일 23.9.7.목 2023년 9월 7일 목요일 1번째 방문 인증 수단 결제내역
23.9.1.금,"Not big shop, but soooo many cute not expensive and good quality things there! Many goods with pokemons and childhood nostalgy things."
23.8.14.월,반응 남기기 방문일 23.8.14.월 2023년 8월 14일 월요일 3번째 방문 인증 수단 결제내역
23.6.18.일,반응 남기기 방문일 23.6.18.일 2023년 6월 18일 일요일 2번째 방문 인증 수단 영수증
23.6.4.일,"아이스크림 전문판매점 픽미픽미 성수혜자점입니다. 종류가 다양하고 가격도 적당해서 자주 오는 편이에요. 처음 오픈할 때는 400원부터 종류가 있었는데, 이제는 600원대 부터 판매하네요. 오늘은 인절미를 사봤는데요. 최애 제품은 스크류바 살구맛 입니다:)"
23.5.3.수,보드판에 요구사항 적게해주시는 사장님! 엄청 친절하십니닷
23.3.24.금,반응 남기기 방문일 23.3.24.금 2023년 3월 24일 금요일 2번째 방문 인증 수단 영수증
23.3.12.일,아이스크림 종류가 다양하고 가격이 괜찮은 편입니다!
23.3.8.수,아이스크림도 이제 가격이 오르내여
23.2.16.목,반응 남기기 방문일 23.2.16.목 2023년 2월 16일 목요일 2번째 방문 인증 수단 영수증
23.2.14.화,여름시즌이 아니라서 냉동고 가득하지 않으나 제품군은 다양합니다
23.2.8.수,마트에 없는 거북알이 800원이라 좀 가격이 있긴한데 집에서 가까워서 자주갑니다
23.1.28.토,퍼먹는 아이스크림 가격이 좀 더 할인되면 좋겠습니다 ㅜㅜㅜ
23.1.23.월,최저가 500원대부터 아이스크림 라인업이 수십가지 입니다. 가성비 갑이라 자주 들리게 되는 곳입니다:)
23.1.19.목,메가톤 달고나라떼 있어서 좋아요! 저렴하구 종류도 많네용ㅎㅎ
22.11.28.월,조금 더 여러종류가 있으면
22.11.11.금,반응 남기기 방문일 22.11.11.금 2022년 11월 11일 금요일 1번째 방문 인증 수단 영수증
22.10.21.금,반응 남기기 방문일 22.10.21.금 2022년 10월 21일 금요일 1번째 방문 인증 수단 영수증
22.10.14.금,반응 남기기 방문일 22.10.14.금 2022년 10월 14일 금요일 1번째 방문 인증 수단 영수증
22.10.9.일,아이스크림 가성비 짜응~!
22.9.30.금,반응 남기기 방문일 22.9.30.금 2022년 9월 30일 금요일 3번째 방문 인증 수단 영수증
22.9.18.일,반응 남기기 방문일 22.9.18.일 2022년 9월 18일 일요일 4번째 방문 인증 수단 영수증
22.9.17.토,반응 남기기 방문일 22.9.17.토 2022년 9월 17일 토요일 1번째 방문 인증 수단 영수증
22.9.11.일,반응 남기기 방문일 22.9.11.일 2022년 9월 11일 일요일 1번째 방문 인증 수단 영수증
22.9.3.토,메가톤 달고나맛 먹고 싶어요+_+ 아이스크림 종류 많아서 넘 좋아요!
22.8.27.토,반응 남기기 방문일 22.8.27.토 2022년 8월 27일 토요일 1번째 방문 인증 수단 영수증
22.8.14.일,반응 남기기 방문일 22.8.14.일 2022년 8월 14일 일요일 2번째 방문 인증 수단 영수증
22.8.14.일,반응 남기기 방문일 22.8.14.일 2022년 8월 14일 일요일 1번째 방문 인증 수단 영수증
22.8.14.일,반응 남기기 방문일 22.8.14.일 2022년 8월 14일 일요일 1번째 방문 인증 수단 영수증
22.8.14.일,반응 남기기 방문일 22.8.14.일 2022년 8월 14일 일요일 1번째 방문 인증 수단 영수증
22.8.12.금,집근처에 무인 가게가 생겨서 갔는데 종류가 많아서 굳굳!! 담에 또 이용할게요~~
22.8.5.금,반응 남기기 방문일 22.8.5.금 2022년 8월 5일 금요일 1번째 방문 인증 수단 영수증
22.8.4.목,반응 남기기 방문일 22.8.4.목 2022년 8월 4일 목요일 2번째 방문 인증 수단 영수증
22.6.6.월,반응 남기기 방문일 22.6.6.월 2022년 6월 6일 월요일 1번째 방문 인증 수단 영수증
22.6.2.목,반응 남기기 방문일 22.6.2.목 2022년 6월 2일 목요일 1번째 방문 인증 수단 영수증
