date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""현지 맛에 가까워요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""혼술하기 좋아요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""야외공간이 멋져요""",이 키워드를 선택한 인원
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
8.30.토,인테리어가 힙하고 사장님이 친절합니다. 샌드위치 맛은 무난한 편인데 느끼할줄 알고 스파이시 메뉴로 선택한건 잘한거같아요.
6.22.일,맛있어요. 한번쯤은 먹어볼만합니다 필라델피아 스타일 스테이크라는 의미에서. 우리나라 불고기를 채운 핫도그 느낌인데 기본보단 매운맛이 맛있네요.
6.18.수,외관이 너무 멋있어서 들어왔어요! 좌석도 넓고 좋아요~! 음식도 맛있습니다
5.24.토,일단 맛있고 친절하시고 청결해요 점심시간때 혼밥 자주하는데 딱 혼밥하기도 좋고 좌석이 되게 괜찮았어요!
6.16.월,핫도그를 펼쳐놓은 거 같은 느낌이에요ㅋㅋㅋㅋ 오늘 처음으로 먹어봤는데 체인점이 있는 이유를 알 거 같아요! 트리플 치즈 추천합니다!
5.24.토,역시 필리필리 맛있어요 스파이시가 짱이에요
5.16.금,미국식 입맛에 잘 맞아서 종종 와요! 주인도 너무 친절하셔서 치즈랑 매콤 고민해서 반반 제안 해주고 만들어주셔서 감사합니다. 루트비어 잘 안
5.16.금,엄청 리치하고 맛잇어요 !! 인테리어도 미국 느낌 낭랑합니다🤍
