date,content
6.9.월,"항상 인터넷 주문 해서 사먹다가, 당일날 필요 해서 미리 예약하고 가서 포장을 해왔습니다. 맛있는 육회와 육사시미를 먹을 수 있어서 너무 좋습니다. :)"
23.12.13.수,역시 구선생네 고기는 맛있어요 포장도 꼼꼼하고 아이스팩을 두개나 넣어주셨어요  육회생각나면 주문하는데 매번 먹을때마다 역시 가 역시구나해요 고기양도 푸짐하지만 맛있구요 신선하구요 잡내없구요 이가격에 이정도 양이면 정말 푸짐 그 자체에요
23.8.24.목,친절하고 고기가 좋아요
23.6.7.수,반응 남기기 방문일 23.6.7.수 2023년 6월 7일 수요일 1번째 방문 인증 수단 영수증
23.3.8.수,오래간만에 육회 역시 실망시키지 않아요 지인이 식당에서 포장해사 가지고 왔는데 식감이 소잡는 구선생네만 못하더라구요 이번에도 우리 식구들 1kg 푸짐하게 먹었습니다 시어머님 육회 비빔밥 남편 육회에 쇠주 아이들 불닭에 육회 다양하게 푸짐하게 맛있게 먹었네요
23.2.6.월,육회 대용량 오키 좋아좋아
23.1.21.토,반응 남기기 방문일 23.1.21.토 2023년 1월 21일 토요일 2번째 방문 인증 수단 영수증
23.1.20.금,반응 남기기 방문일 23.1.20.금 2023년 1월 20일 금요일 1번째 방문 인증 수단 영수증
23.1.18.수,여기 고기 신선하고 좋아요 육회도 육사시미도 부채살도 살치살 다 맛있어요 고기시켜 실망한 적이 없어요  그래서 불고기거리도 맛있고 좋을 줄 알았어요 보통 불고기 거리는 얇게썰어 돌돌말아 반 썰어 주거나 아님 얇게 썬 상태도 주거나 하지 않나요 근데 여기 불고기 거리는 다 너덜 꼭 짧아 뜯어놓은것 처럼 생겼어요 전 불고기거리로 육전을 할 거라이렇게 생겼을 줄은 생각도 못했어
23.1.16.월,고기 좋아요 질기지않고 잡내없이 깔끔해요 배송도 빠르고 포장상태 굿
23.1.12.목,반응 남기기 방문일 23.1.12.목 2023년 1월 12일 목요일 1번째 방문 인증 수단 영수증
23.1.4.수,반응 남기기 방문일 23.1.4.수 2023년 1월 4일 수요일 1번째 방문 인증 수단 영수증
23.1.3.화,고기가 신선하고 가격도 착해요
22.12.31.토,반응 남기기 방문일 22.12.31.토 2022년 12월 31일 토요일 1번째 방문 인증 수단 영수증
22.12.8.목,고기가정말 신서하고 맛있습니다
22.11.28.월,역시 고기는 구선생 정말 신선하고 맛있어요
22.11.28.월,반응 남기기 방문일 22.11.28.월 2022년 11월 28일 월요일 1번째 방문 인증 수단 영수증
22.11.28.월,반응 남기기 방문일 22.11.28.월 2022년 11월 28일 월요일 1번째 방문 인증 수단 영수증
22.11.24.목,요즘계속 시켜먹게 되는데 맛있어요
22.11.10.목,반응 남기기 방문일 22.11.10.목 2022년 11월 10일 목요일 1번째 방문 인증 수단 영수증
22.10.12.수,저렴한 곳이에요. 가성비 좋아요.
22.10.6.목,서비스도 많이 주시고 친절합니다
22.9.9.금,반응 남기기 방문일 22.9.9.금 2022년 9월 9일 금요일 1번째 방문 인증 수단 영수증
22.8.29.월,반응 남기기 방문일 22.8.29.월 2022년 8월 29일 월요일 8번째 방문 인증 수단 영수증
22.6.21.화,반응 남기기 방문일 22.6.21.화 2022년 6월 21일 화요일 7번째 방문 인증 수단 영수증
22.6.8.수,반응 남기기 방문일 22.6.8.수 2022년 6월 8일 수요일 1번째 방문 인증 수단 영수증
22.5.2.월,반응 남기기 방문일 22.5.2.월 2022년 5월 2일 월요일 1번째 방문 인증 수단 영수증
22.4.27.수,반응 남기기 방문일 22.4.27.수 2022년 4월 27일 수요일 6번째 방문 인증 수단 영수증
22.4.27.수,반응 남기기 방문일 22.4.27.수 2022년 4월 27일 수요일 5번째 방문 인증 수단 영수증
22.4.13.수,반응 남기기 방문일 22.4.13.수 2022년 4월 13일 수요일 1번째 방문 인증 수단 영수증
22.3.2.수,신선한 고기를 온라인&오프라인 둘 다 구매할 수 있어서 너무 좋아요~
22.1.20.목,반응 남기기 방문일 22.1.20.목 2022년 1월 20일 목요일 1번째 방문 인증 수단 영수증
22.1.18.화,반응 남기기 방문일 22.1.18.화 2022년 1월 18일 화요일 4번째 방문 인증 수단 영수증
21.11.29.월,반응 남기기 방문일 21.11.29.월 2021년 11월 29일 월요일 1번째 방문 인증 수단 영수증
21.11.22.월,반응 남기기 방문일 21.11.22.월 2021년 11월 22일 월요일 3번째 방문 인증 수단 영수증
21.11.2.화,반응 남기기 방문일 21.11.2.화 2021년 11월 2일 화요일 1번째 방문 인증 수단 영수증
21.10.30.토,저렴하고 고기가 좋네요~~
21.10.27.수,반응 남기기 방문일 21.10.27.수 2021년 10월 27일 수요일 1번째 방문 인증 수단 영수증
21.10.2.토,믿고 먹는 고기집이에요~ 집에서 접근성이 편해서 자주가요 ^^ 공영주차장에서 주차하고 매번 여기서 고기 구매합니다 직접 발골하시는 고기를 판매하셔서 정말 신선하고 사장님도 넘 친절하세용! 주차권도 주시더라구요 ~ 여기 육회도 너무 유명해서 자주사러가는 단골입니다~ 잘부탁드려요~
21.9.28.화,반응 남기기 방문일 21.9.28.화 2021년 9월 28일 화요일 1번째 방문 인증 수단 영수증
21.9.15.수,반응 남기기 방문일 21.9.15.수 2021년 9월 15일 수요일 2번째 방문 인증 수단 영수증
21.9.10.금,명절 고기는 여기서 늘 사요
21.5.17.월,반응 남기기 방문일 21.5.17.월 2021년 5월 17일 월요일 1번째 방문 인증 수단 영수증
