date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""술이 다양해요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""아이와 가기 좋아요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
8.26.화,좋아하는 곳이라서 이번에 식 메뉴가 나왔길래 도시락으로 주문하고 와서 이렇게 미리 주문해 놓고 도시락으로 회장에서 찾아 오니 집에서 먹기 엄청 편하고 싶더라구요. 이렇게 포장해 와도 반찬도 되게 많고 맛있어가지고 깜짝 놀랄 랄라네요. 자주 먹고 싶어요.
7.24.목,"평소에 자주 다니는 식당인데 , 장어덮밥이 나왔다고 해서 먹어봤습니다. 간만에 몸보신도 할겸 2미로 시켜서 아주 배부르고 맛있게 먹었습니다. 특히 오차즈게로 와사비와 뜨거운 물에 말아서 먹을수 있어서 먹는 재미도 있고 맛도 구성도 알차게 먹었습니다. 다음번엔 부모님 모시고 오고싶은 맛이었습니다:)"
7.24.목,장어덮밥 맛있다고 왔는데 3천원 추가하면 히츠마부시로 변경이 되네요! 장어 두마리에 히츠마부시로 주문하니 성인남자가 먹어도 정말 배부르게 먹고 갑니다~ 올 여름 많이 더운데 몸보신 제대로 하네요 ㅎㅎ 중복날 또 올게용!!
7.24.목,몇번가서 먹었던 하루반상에 신메뉴가 나왔다고 해서 장어덮밥을 방문포장했습니다!  양도 넉넉하고 맛도 좋고 갓성비 제대로네요! 장어를 이가격에 먹을수있다니 너무 좋습니다~ 히츠마부시도 추가했는데 먹는방법까지 들어있네요 대만족^^ 다음엔 2미도 도전해봐야겠어요  요즘 날이 더워 입맛도 없는데 또 먹으러갈게요~ 삼복이벤트도 한다고 하니 그때 재방문예정입니다ㅎㅎ^ㅇ^b
