date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""매장이 넓어요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
24.11.22.금,"왜 이제야 방문했는지…. 부대찌개, 김밥 너무 맛있게먹었어요! 재료도 제대로 쓰시고, 오이김치 반찬도 맛있었어요! 다음번엔 죤슨빌소세지 부대찌개로 먹어봐야겠어요!! :) 재방문할게요||"
24.12.6.금,육계잠은 고기의 노린내가 많이 납니다. 육계장맛은 글세요 나는 별로입니다.
24.4.4.목,"근처 살면서도 잘 모르다가 소문듣고 찾아온 하얀물고기. 좌석 수가 많지 않은 매장이나 전반적으로 깨끗한 분위기였다. 실제로 식기나 물컵 등 위생상태가 매우 좋았다. 돈까스8000원과 매운고기김밥 4800원 주문했는데, 김밥 맛있고 돈까스는 얇고 바싹하니 경양식 돈까스 중에서 아주 맛있는 정도. 또한 가스오랑 멸치로 우린 육수가 자극적이지도 않고 좋았다. 재방문 예정."
24.7.4.목,ㅋㅋㅋㅋ 8천원이라 기대 안했는데 가성비도 있고 맛있네요 개인적으로 행운돈가스 보다 맛있음.
24.1.12.금,집밥 먹는 거 같아요 정성스럽게 만들어 주시고 재료도 좋아요
23.9.5.화,"수제돈까스와 깔끔하고 느끼하지 않은 국물의 부대찌개가 맛있는 곳이에요. 왕십리역 성동구청 바로 옆에 위치해 있어 직장인 점심이나 간단한 저녁먹기에도 좋네요.  음식들이 정갈하고 정성이 들어간 집밥 느낌 나는 맛집이라 점심에 인기가 많고 저녁에도 포장손님 많더라구요.  햄가득 들어간 부대찌개 든든히 먹기 좋고, 아이들은 돈까스 너무 잘 먹네요. 특히 돈가스 소스와 부대찌개 국물 등 자극적이지 않고 짜지 않아요."
23.8.18.금,"성동구청 직원분들이 가장 사랑하는 맛집이에요 왜냐면 진짜 맛있거든요ㅠㅠ 어떻게 이렇게 맛있게 할 수 있는지,, 돈까스는 우선 제가 먹어 본 돈까스 중 가장 맛있고, 부대찌개 국물은 이렇게 진하고 깊은 부대국물 처음이에요. 햄도 비싼거 쓰시는지 씹을 때마다 고소함이 남다르고 그냥 이 집은 음식에 진심인 집이에요 한국 올 때마다 오고 싶어요.. 밀키트로 팔면 사가고 싶을 정도로 진짜 맛있어요…"
23.10.30.월,너무 맛있어서 요즘 자주 갑니다 자극적이지 않아 좋습니다
23.8.31.목,부대찌개에 순두부도 들어있고 햄도 많아요 국물이 시원깔끔한 스타일 돈까스도 맛있어요 ㅎㅎ
23.6.22.목,"성동구청, 왕십리 근처에 맛있는 밥집찾기가 어려웠는데 맛집을 찾은것 같아요~! 부대찌개도 시원해서 해장각이였고 돈까스도 바삭해서 맛있게 먹었어요♥️ 김밥이나 다른 메뉴 포장 손님들도 많아 보여서 다음엔 포장도 꼭 해보려구요."
23.5.23.화,여기 진짜 미쳤어요 ㅠㅠ 양도 많고 태어나서 먹어본 돈까스 중에 제일 맛있어요. 엄마가 부대찌개 원래 안 먹는데 여기껀 맛있다면서 한그릇 뚝딱 다 비우고 돈까스도 먹더니 고기가 좋은 고기라고 다른 집들이랑 다르다고 엄청 맛있게 드셨어요. 왜 이렇게 맛있게 만드시는 거죠..? 외관은 그냥 김밥집 같은데 진짜 왕십리 맛집이에요 !! 서울 3대 돈까스 이런거 다 먹어봤는데 여기가 더 맛있어요. 수제 돈까스 대박입니다.
24.7.18.목,반응 남기기 방문일 24.7.18.목 2024년 7월 18일 목요일 1번째 방문 인증 수단 영수증
23.6.1.목,"왕십리 돈까스 부대찌개 집의 가운데로는 2-4인용 테이블들이 배치되어있어요. 혼자 먹을 수 있도록 자리는 붙이거나 띄거나 가능하구요.  저희가 갔을때도 혼자 오신분들이 꽤 계시고, 혼자 오시는 분들 중에는, 픽업도 정말 많았어요.  메뉴는 크게 4가지로 구성되어있는데요, 돈까스, 부대찌개, 김밥류, 면류 (냉면, 라면 등) 입니다.  대표메뉴인 돈까스는 마치 남산 돈까스의 반 정도의 크기가 2개있으니 양으로는 거의 비슷하거나 많았습니다. 부대 찌개의 순두부는 너무 보드라와서 맛있게 먹었네요.  전반적으로 가격대도 저렴한 편이고 양도 푸짐해서 가성비 좋게 한끼 해결할 수 있답니다.왕십리역 근처에서 간단하게 식사해결해야될 일이 있다면 추천드리고 싶은 저만 알고 싶은 집 입니다."
23.6.30.금,진짜 너무 맛있어요 완전 대만족이에요 자주 갈게요 사장님도 너무 친절 하셔서 꼭 단골 하고 파요
24.1.19.금,너무맛있어요 아이랑먹기도좋구요 술도 저렴해요
23.11.17.금,반응 남기기 방문일 23.11.17.금 2023년 11월 17일 금요일 1번째 방문 인증 수단 영수증
23.11.17.금,"부대찌게, 돈가스 심지어 반찬으로 나오는 오이무침까지 완벽하게 맛있는 곳"
23.5.23.화,혼밥하기 좋아요 음식양이많아요 포장가능해요 부대찌개 맛있어요
