date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""향신료가 강하지 않아요""","""향신료가 강하지 않아요"""
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
9.25.목,마라샹궈는 처음인데 서비스로 공기밥도 주셔서 맛있게 먹었어요 마라향 넘 맛있어요♡
3.27.목,반응 남기기 방문일 3.27.목 2025년 3월 27일 목요일 1번째 방문 인증 수단 결제내역
2.17.월,땅콩소스가 들어가 담백하니 넘 맛있어요! 쿼바로우도 짱!
2.2.일,반응 남기기 방문일 2.2.일 2025년 2월 2일 일요일 2번째 방문 인증 수단 결제내역
24.9.11.수,마라탕 정말 오랜만에 먹었는데 맛있었습니다! 제가 좋아하는 땅콩맛나는 마라탕이라 더 좋았고 꿔바로우도 양 많고 엄청나게 바삭 .. 나오는 시간은 좀 걸렸지만 마라탕 생각나면 또 갈 것 같습니다😸
24.10.20.일,오랜만에 마라샹궈 맛있네요. 뀌바로우도 맛있구요.
24.10.14.월,혼밥하러 자주 오는 마라탕집!! 땅콩소스는 따로 달라고 하면 저렇게 주시고요 매번 먹을 때마다 맛있어여ㅜㅜ
24.10.30.수,반응 남기기 방문일 24.10.30.수 2024년 10월 30일 수요일 2번째 방문 인증 수단 영수증
24.9.20.금,반응 남기기 방문일 24.9.20.금 2024년 9월 20일 금요일 1번째 방문 인증 수단 영수증
24.8.6.화,반응 남기기 방문일 24.8.6.화 2024년 8월 6일 화요일 1번째 방문 인증 수단 영수증
24.7.8.월,요리도 빨리나오고 맛있어요 특히 꿔바로우가 맛있고 바삭하고 양도 많아요 꿔바로우 강추
