date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""빵이 맛있어요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""반려동물과 가기 좋아요""","""반려동물과 가기 좋아요"""
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""종류가 다양해요""",이 키워드를 선택한 인원
8.23.토,"인테리어도 트렌드하고, 너무 편안하게 대화하고 쉴수 있는 느낌의 카페예요. 사장님도 좋으시고 커피까지 너무 맛있네요! 재방문각이예요👍"
8.28.목,카페라떼만 마시는 라떼쳐돌이인데 하우스라떼 엄청 꼬숩달달해서 카페라떼 유목민 마음에 쏙 들었습니다( ⸝⸝ʚ̴̶̷̆ωʚ̴̶̷̆⸝⸝)
8.28.목,사장님이 친절하구 조용하니 이쁜 카페네요 커피도 맛있고 케이크도 기가막혀요
8.4.월,이지코지하고 예쁘규 맛있는 카페에여!!!!!!!
7.27.일,"제 숨겨진 방앗간입니다,, 다들 왔으면 좋겠는데 안왔으면,, 나만 알고싶기도 ,, 사장님도 너무 친절하시고 분위기도 좋아요!! 좋음 시간 보내고 갑미다 😍😍"
8.12.화,조용하고 좋아요 작고 아담해요~ 커피도 맛있고 디저트도 커피와 마시기 좋아요.
8.10.일,토마토 소르베가 특별하고 맛있어요~! 서울숲역에서도 가까워서 좋구 분위기도 아늑합니다.
8.2.토,조용하고 대화하기 좋아요!!! 케이크도 맛있어용~~
8.18.월,업무미팅 왔는데 분위기 너무 좋고 조도가 딱 사진 잘나올 분위기입니다 커피더 맛나고 사장님 넘친절해요!
6.28.토,두번째 방문 ~^^ ☕😊👍 하우스라떼 가 너무 맛있어서 😋 재방문 하고 싶었는데 시간이 안나서 이제야 방문~^^ 🥳👏🎉 정말 진하고 맛있어요 ☕😋👍
7.26.토,커피도 밀크티도 맛있었어요!!
5.6.화,카페 분위기도 좋고 커피와 디저트 가 모두 맛있었습니다!!!!😋😋😋👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻
7.5.토,카페가 엄청 시원하고 음료도 맛있어요!! 사장님도 친절하세영☺️
7.31.목,회사 주변 아늑하고 분위기 좋은 카페를 찾았습니다 -!
