date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
6.16.월,약속 일찍 도착해서 시원한 커피한잔.. 커피 맛도 찐하고 좋네용..
24.11.17.일,반응 남기기 방문일 24.11.17.일 2024년 11월 17일 일요일 1번째 방문 인증 수단 영수증
23.12.10.일,커피 맛집입니다. 커피 콩을 좋은걸 쓰는지 커피가 쓰지 않고 라떼의 경우 우유양도 많아 부드럽고 맛있습니다. 특히 스틱파이 맛있어요. 배부르지 않으면서 커피와 간단히 먹을 수 있는 스낵입니다.
24.3.30.토,반응 남기기 방문일 24.3.30.토 2024년 3월 30일 토요일 1번째 방문 인증 수단 영수증
23.10.20.금,은퇴한 회사 선배랑 자전거 한강암사지역~용비쉼터 중랑천 ~청계천~마장동 한우천에서 점심 먹고 이 곳 카페에서 차를 마셨다. 원래 옆에 가던 카페가 있었는데 성격 급한 선배 탓에 여기로 왔는데 여주인 표정과 말투가 건조하다... 가격이라도 낮추던지.... 장사가 잘 될 분위기가 아닌 곳에서 선배랑 무미건조한 대화를 잠시 나누고 왔던 코스 그대로 복귀.
23.6.18.일,"마장중학교 근처에서 볼 일이 있어서 들른 카페입니다. 건물 안 쪽에 들어와 있어서 접근하기 그렇게 쉬운 곳은 아니지만, 카페 분위기도 좋고, 사장님도 친절하십니다!  수박주스 마셨는데, 수박이 듬뿍 들어가서 한 모금 마셨을 때, ‘내가 수박을 한 입 베어물었나?’라는 착각이 일어날 정도였습니다. 오늘 날이 더웠는데, 오늘 길에 흘렸던 땀이 다 날아가는 기분이 들고 상쾌해지는 기분이었습니다!"
24.2.29.목,반응 남기기 방문일 24.2.29.목 2024년 2월 29일 목요일 1번째 방문 인증 수단 결제내역
23.4.16.일,동네 장사하시면서 좀 친절했으시면 좋겠네요... 손님 모시고가서 좀 민망했습니다...
23.8.20.일,반응 남기기 방문일 23.8.20.일 2023년 8월 20일 일요일 1번째 방문 인증 수단 결제내역
23.7.19.수,반응 남기기 방문일 23.7.19.수 2023년 7월 19일 수요일 1번째 방문 인증 수단 영수증
23.4.18.화,반응 남기기 방문일 23.4.18.화 2023년 4월 18일 화요일 1번째 방문 인증 수단 영수증
23.9.9.토,반응 남기기 방문일 23.9.9.토 2023년 9월 9일 토요일 1번째 방문 인증 수단 영수증
23.3.18.토,반응 남기기 방문일 23.3.18.토 2023년 3월 18일 토요일 1번째 방문 인증 수단 영수증
22.11.28.월,"마장동 한우 먹기 전, 기다리기 좋은 아늑한 카페☕️"
22.11.19.토,반응 남기기 방문일 22.11.19.토 2022년 11월 19일 토요일 1번째 방문 인증 수단 영수증
22.11.27.일,반응 남기기 방문일 22.11.27.일 2022년 11월 27일 일요일 1번째 방문 인증 수단 영수증
22.9.12.월,마장동 고기먹고 들렸습니다
22.11.23.수,반응 남기기 방문일 22.11.23.수 2022년 11월 23일 수요일 1번째 방문 인증 수단 영수증
22.10.28.금,반응 남기기 방문일 22.10.28.금 2022년 10월 28일 금요일 1번째 방문 인증 수단 영수증
22.5.20.금,동네 카페인데 금액대가 있네요
22.3.12.토,"매장은 작지만, 메뉴는 많습니다"
22.5.19.목,반응 남기기 방문일 22.5.19.목 2022년 5월 19일 목요일 1번째 방문 인증 수단 영수증
22.3.27.일,반응 남기기 방문일 22.3.27.일 2022년 3월 27일 일요일 1번째 방문 인증 수단 영수증
22.3.10.목,반응 남기기 방문일 22.3.10.목 2022년 3월 10일 목요일 1번째 방문 인증 수단 영수증
21.10.8.금,반응 남기기 방문일 21.10.8.금 2021년 10월 8일 금요일 2번째 방문 인증 수단 영수증
21.10.8.금,반응 남기기 방문일 21.10.8.금 2021년 10월 8일 금요일 1번째 방문 인증 수단 영수증
22.1.9.일,반응 남기기 방문일 22.1.9.일 2022년 1월 9일 일요일 1번째 방문 인증 수단 영수증
21.3.18.목,반응 남기기 방문일 21.3.18.목 2021년 3월 18일 목요일 1번째 방문 인증 수단 영수증
21.1.31.일,반응 남기기 방문일 21.1.31.일 2021년 1월 31일 일요일 1번째 방문 인증 수단 영수증
20.7.24.금,반응 남기기 방문일 20.7.24.금 2020년 7월 24일 금요일 1번째 방문 인증 수단 영수증
20.7.24.금,반응 남기기 방문일 20.7.24.금 2020년 7월 24일 금요일 1번째 방문 인증 수단 영수증
