date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""코스요리가 알차요""",이 키워드를 선택한 인원
"""현지 맛에 가까워요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
10.3.금,성수에 숨겨진 맛집이 최근에 리뉴얼 했다고 지인이 강력 추천해서 오늘 방문해봤습니다!! 가게 들어가자마자 세련된 인테리어랑 감성있는 음악이 나와 오자마자 기분이 좋아지고 기대가 됐어요! 우선 나폴리탄 파스타는 하이앤리틀의 화양식을 가장 잘 나타내는 파스타였던 것 같고 개인적으로 가장 맛있었던 메뉴에요! 함박스테이크는 겉바속촉의 정석을 보여주는 미친 맛이었습니다! 이외에도 마레크림그라탕은 입안에 바다를 머금는 느낌이었고 미트오븐스파게티는 진짜 입안에서 살살 녹습니다..🥹 이런 맛집을 이제야 알게 됐다니.. 재방문 의사 580000000%입니다🔥 사장님도 정말 친절하시고 요리에 대한 철학이 있으신 것 같아 요리 하나하나에 정말 신경 쓰신게 느껴졌습니다. 완전 강추!!!!
