date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""반려동물과 가기 좋아요""","""반려동물과 가기 좋아요"""
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""차가 맛있어요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""혼술하기 좋아요""",이 키워드를 선택한 인원
"""야외공간이 멋져요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""술이 다양해요""",이 키워드를 선택한 인원
"""읽을만한 책이 많아요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
10.10.금,"친절한 사장님께서 주문받으시고 가져다 주시고 치워주십니다! 화장실은 외부에 있으나 관리를 잘해주셔서 깨끗하고 곳곳에 강아지, 고양이에 대한 애정이 묻어 있어요! 다음에 다른 귀여운 디저트도 먹으러 가고 싶어요☺️  🐶계절을 알리는 강아지(9,500원) : 우유 생크림에 무화과가 엄청 달아요! 부드러운 카스테라고 아는 맛이지만 귀여운데 이렇게 맛있으니 꼭 드셔보세요ㅎㅎㅎ 🍹하츠 젤리 아이스티(6,500원) : 평소 먹는 아이스티랑은 다른 느낌이에요! 밑에 아이스티 원액 깔려있어서 저어서 드시면 됩니다 :)"
9.24.수,"분위기 좋은 어린이대공원 카페, 하츠커피 평일 오픈런했고 여유로웠어요 1시쯤 되니 거의 만석이었어요  ☕️ 카페 오레 바닐라 시럽이 들어가 달달한데 당도 조절 가능해서 안 달게 부탁드렸어요 드립 커피 + 우유라 텁텁한 뒷맛이 없어서 좋았어요 커피 맛 자체도 산미가 없어서 추천!  🐶 계절을 알리는 강아지 쉬폰 쌀 케이크로 크림 + 시트 + 무화과 구성이에요 약간 달달 + 고소한 우유 맛 크림에 촉촉 부드러운 시트와 달달한 무화과 조합이 잘 어울려요 다만 무화과 양이 적어서 아껴먹었어요  분위기 좋고 사장님도 엄청 친절하셔서 위치가 애매하지만 재방문 의사 1000%!"
8.9.토,"감성깡패,,🤍 메뉴 하나하나 다 귀엽고 인테리어 쏘 아기자기🍄🍄‍🟫 요즘 차에 꽂혔는데 연근차가 고소하고 인상깊었습니다 내부는 조금 협소하지만 공간이 예뻐서 방문 추천드리고 근처에 하츠하우스도 있어서 대기가 많을 시에 가보시면 좋을 것 같아요💭"
8.2.토,지도에 꼬옥 담아둔 위시리스트 카페였는데 근처에 공영주차장이 있길래 드디어 찾아왔어요✨ 토스트는 실물이 훨씬 귀여운데 맛까지 예상초월이고 흔치않은 쟈스민 콜드브루도 너무 취향이었어요…! 인테리어도 너무 예뻐서 맨날 오고싶어요ㅠㅠ
9.28.일,"지난번에 방문하고 두번째 방문이에요 귀여운 행운강쥐도 먹구 오늘은 날이더워 에이드를 먹었는데 넘 시원해서 갈증해소 성공,,🧚🏻 그리고 여전히 사장님두 친절하심 ㅎㅎ"
7.1.화,"예전부터 꼭 와보고 싶었던 곳인데, 드디어 방문했어요. 기대했던 만큼 너무 좋았고, 커피도 디저트도 정말 맛있었어요. 디저트 식기 받침으로 주신 글귀도 마음을 몽글몽글하게 해줘서 큰 힘이 되었네요. 감성이 가득한 공간이라 친구와 함께 와도 좋고, 혼자 조용히 여유를 즐기기에도 정말 좋을 것 같아요"
7.1.화,"가나디 브라우니 너무 귀엽지 않나요 ՞ ̳o̴̶̷̤ ̫ o̴̶̷̤ ̳՞ 너무 가보고싶어서 반차내고 왔어요 ㅎㅎ 커피도 맛있고 디저트도 너무 귀여워요! 맛두 있구,,, 매장이 크지 않아서 대기가 생길수도 있어요 ! 평일 오후에 방문했는데 사람 꽤 있었습니다!"
6.14.토,오랜 위시리스트 카페!!! 기대만쿰 좋았어요 ㅠ  뮤엇보다 토스트가 촉촉하고 달달해서 그냥 감성용 디저트가 아니라 진짜 맛도 좋은 디저트였답니다 히히  하트포션은 이온음료맛이라 여름에 시원한 청량감을 위해 너무 좋더라구요!! 아주 맛도리도리입니다  담에 또 올게요 사장님!!
7.1.화,공간이 예뻐서 꼭 들리고 싶었는데 디저트가 다 너무 귀여워서 뭘 먹을지 고민이 많았는데 맛있기도 해서 너무 잘 먹었숩니당ㅎㅎ 다음에도 주변에 올 일 있으면 또 올게요! 참고로 평일 낮에 방문 시 대기는 없었지만 자리 잡고 나니 야외석 제외하고 만석이었어요!🫠
6.27.금,"너무 아늑하고 멋진 곳이에요... 더 더워지기전에 꼭 방문하고싶었던 곳인데 다정하신 사장님 덕분에 여행의 첫날을 행복하게 시작했어요🥹🤍 강아지브라우니 너무 귀여워서 어떻게 먹어야할지 진짜 고민됩니다.. ㅜㅜ 크림이 달지않아서 진한 초코브라우니와 찰떡이구 말차우유푸딩은 슴슴한 맛이 깊게 우려나와서 ""말차"" 그자체를 느낄수있었어요 일본온줄ㅠㅠ 퇴장할때 밖이 덥다고 귀여운 부채도 주셨고 타지에서 왔다고 신경도 써주셔서 마음이..너무 일렁거렸답니다,, 가끔씩 고양이가 나타나는것같은데!! 저는 오늘 만나지 못해서 쪼금 아쉬웠어요 다음에 또 서울 오게되면 꼭 다시 방문할래요♡"
6.4.수,넘 귀여운 강아지 브라우니 ㅎㅎㅎ 맛도 좋아요!! 디카페인 커피 맛도 훌륭해서 또 방문할 것 같아요 :) 평일에 방문하니 한적해서 더 머무르기 좋았습니다! 친절한 사장님과 아기자기한 인테리어 덕분에 즐거운 시간 보냈습니다 🍀
