date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
1.8.수,영업시간에 가도 갈 때마다 휴무일 때가 진짜 많아요  그리고 돈가스에서 고기냄새가 좀 나서 재방문은 하더라도 다른 거 먹어볼 거 같아요  김치가츠나베입니다
24.11.28.목,가격도 괜찮고 양도 많고 맛도 있는! 안 갈 이유 없는 곳.. 규동에 노른자 추가하면 녹진하니 더 고소하고 맛있습니당! 라멘에는 숙주도 많이들어가고 차슈도 있어서 든든하게 먹기 가능 ㅎㅎㅎ 좋음..🤍
24.8.26.월,반응 남기기 방문일 24.8.26.월 2024년 8월 26일 월요일 1번째 방문 인증 수단 영수증
24.5.9.목,누가봐도 요리하시는 남자 사장님 머리카락이..나왔는데... 머리카락 드려도... 뭐 취소나 서비스 등에 대한 후 대처 언급조차 없으셔서 아쉬웠습니다... 사람이 하는 일이니 머리카락 나오는 정도야 발생할 수 있는 일이라곤 생각하지만 대처가 좀 있다면 어땠을까 정도의 생각입니다. 재방문은 없을 것 같습니다
24.8.25.일,반응 남기기 방문일 24.8.25.일 2024년 8월 25일 일요일 1번째 방문 인증 수단 영수증
23.12.20.수,매장은 좁지만 사람이 붐비지는 않아서 혼밥하기 괜찮고 무난무난 맛있어용
24.2.15.목,점심 식사로 짱이에여
23.9.4.월,"실패없이 먹기 좋아요! 가격, 메뉴 좋고 혼밥하기도 괜찮은 것 같아요  냉우동이랑 닭라멘이었던 거 같은데 둘 다 맛있어요!!"
24.2.1.목,반응 남기기 방문일 24.2.1.목 2024년 2월 1일 목요일 1번째 방문 인증 수단 영수증
24.5.2.목,반응 남기기 방문일 24.5.2.목 2024년 5월 2일 목요일 1번째 방문 인증 수단 영수증
23.9.6.수,규동과 오므라이스를 함께한 음식 넘 맛있어요! 양이 좀 적지만 일어서면 배불러오!
23.6.4.일,맛집이에요 음식도 정갈하니 잘나오구여 맥주랑 한잔하니 참좋네여 다음에는 다른메뉴 먹어보고 싶어요
23.11.19.일,맛있어욥 !!!! ㅎㅎ
23.9.12.화,가게 아담하고 음식 맛있어요!
23.9.6.수,반응 남기기 방문일 23.9.6.수 2023년 9월 6일 수요일 1번째 방문 인증 수단 영수증
23.8.30.수,맜있게 잘 먹었습니다.
23.10.2.월,반응 남기기 방문일 23.10.2.월 2023년 10월 2일 월요일 2번째 방문 인증 수단 영수증
23.5.1.월,와와와 너무 맛있어요~~!! 일본가정식 너무 좋아요
23.6.21.수,반응 남기기 1 명 방문일 23.6.21.수 2023년 6월 21일 수요일 1번째 방문 인증 수단 영수증
23.3.23.목,할머니는 친절한데 주방인심은 좀 ㅋㅋ 대체로 맛있습니다. 물가인상률 반영해도 가격은 비싼데 양이 적고 며칠전 먹은 돈까스 정식에 양배추는 색상이 노랗게 변해있었음. 식재료 관리 잘 부탁합니다.
23.10.4.수,반응 남기기 방문일 23.10.4.수 2023년 10월 4일 수요일 2번째 방문 인증 수단 영수증
23.5.19.금,반응 남기기 방문일 23.5.19.금 2023년 5월 19일 금요일 1번째 방문 인증 수단 결제내역
23.1.19.목,"일본라멘, 우동, 덮밥 맛집"
22.12.21.수,논문 심사를 마치고 아사이맥주와 늦은 점심을 신나게 먹었네요 ㅎㅎ
23.1.8.일,반응 남기기 방문일 23.1.8.일 2023년 1월 8일 일요일 1번째 방문 인증 수단 영수증
22.9.20.화,친절하시고 새우튀김 진짜 맛있어요!
22.11.27.일,맛있고 매장 조용해서 좋았어용
22.10.16.일,가게 내부는 작아서 큰소리 내긴 힘들어요. 대신 혼밥하기 좋아요. 양이 적은 편인 것 같아서 많이 드시는 분들은 사이즈업 해드시면 돼요!! 고기양이 적어서 살짝 아쉬웠는데 맛있었습니다.
23.6.4.일,반응 남기기 방문일 23.6.4.일 2023년 6월 4일 일요일 1번째 방문 인증 수단 영수증
22.11.11.금,왕십리 간다면 꼭 들려보세요!
23.5.16.화,반응 남기기 방문일 23.5.16.화 2023년 5월 16일 화요일 1번째 방문 인증 수단 결제내역
23.1.8.일,사장님 친절하시고 음식 맛있습니다. 숨겨진 로컬집인거 같아요
22.12.29.목,반응 남기기 방문일 22.12.29.목 2022년 12월 29일 목요일 1번째 방문 인증 수단 결제내역
22.9.23.금,맛있게 잘 먹었어용
22.12.8.목,반응 남기기 방문일 22.12.8.목 2022년 12월 8일 목요일 1번째 방문 인증 수단 영수증
22.5.5.목,가족끼리 하시는것같아요!! 구석진곳에있어서 분위기도 좋구 ☺️ 강추합니다!!
23.3.30.목,반응 남기기 방문일 23.3.30.목 2023년 3월 30일 목요일 1번째 방문 인증 수단 영수증
22.10.20.목,반응 남기기 방문일 22.10.20.목 2022년 10월 20일 목요일 1번째 방문 인증 수단 결제내역
22.9.19.월,할머니 너무 친절해요
22.9.23.금,반응 남기기 방문일 22.9.23.금 2022년 9월 23일 금요일 1번째 방문 인증 수단 영수증
22.10.25.화,반응 남기기 방문일 22.10.25.화 2022년 10월 25일 화요일 1번째 방문 인증 수단 영수증
22.5.3.화,반응 남기기 방문일 22.5.3.화 2022년 5월 3일 화요일 1번째 방문 인증 수단 영수증
22.5.2.월,반응 남기기 방문일 22.5.2.월 2022년 5월 2일 월요일 1번째 방문 인증 수단 영수증
