date,content
"""비주얼이 좋아요""",이 키워드를 선택한 인원
"""선물하기 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
3.22.토,너무 예뻐요!! 굿 굿!!
3.11.화,어무니 환갑기념으로 떡케이크 주문했어요! 후기들이 너무 이뻐서 선택했는데 역시나 잘한 선택이었어요!!! 사장님 너무 친절하시고 케이크도 너무 이쁘고 많이 달지않고 맛있어요~ 성공적인 파티였습니다! 다음에 또 행사있을때 구매하러오겠습니다 ㅎㅎㅎ🎂👍
3.1.토,아버지 팔순 잔치때 사용. 대성공 아버지가 정말 좋아하시고 가격도 착해서 좋아요
2.25.화,어머니가 떡케이크만 드시는데 지금까지 받아본 케이크중에 제일 예쁘다며 좋아해주셨습니다! 양도 많아서 말씀해주신것처럼 냉동보관했습니다 :) 사장님도 친절하시고 케이크는 예쁜데 맛도 좋았습니다 덕분에 어머니 생신 잘 보냈습니다 :)
2.8.토,이쁘고 맛있어요! 너무 좋아하시는 모습을 보니 행복했습니다~ 감사합니다 ~^^
1.26.일,어머니 칠순이라 주문했어요!! 가격이 좀 있다보니 고민을 많이 했지만 크기도 엄청 크고 앙금도 맛있고 백설기도 맛있었어요 ㅎㅎ  어머니가 정~~말 좋아하셨어요 ㅎㅎ 다음에 또 주문할게요^^
24.12.14.토,"중랑구 떡케익 다 뒤져봤는데, 한결같이가 제일 예쁘더라구요! 컬러도 원하는대로 예쁘게 뽑아주셨고 상담도 친절하게 해주셨습니다^^ 보통 이런 디자인 제품은 맛은 별로일거라는 편견이 있을 수 있는데, 앙금이랑 떡이랑 조화가 정말 좋았습니다! 가족모두 맛있게 먹었어요! 사진에서 7자 꽃이 찌그러진건 저의 불찰로 그런거니까 참고해주세요! 사진보다 실제가 훨씬 예쁘다는것 알려드립니다^^"
24.11.30.토,일반 케이크보다 어르신들이 좋아했습니다~💖 2가지 정도 컬러 사용한 떡케이크를 요청드렸고 제가 원하는 색감과 디자인으로 만들어주셨어요👍🏻 꽃들은 앙금으로 되어있어서 떡이랑 같이 먹으면 달달한게 맛도 딱이에요~ 어르신분들이 보자마자 너무 좋아하셨고 예뻐서 먹기 아깝다고 하셨어요🥹 큰 꽃 말고 빈공간 사이사이 작은 꽃들로 채워져있는 디테일보고 미쳤다 생각했어요 (사진 위에 작은 꽃들 보이시죠!!!?) 처음 주문해봤는데 너무 만족했고 나중에 생일케이크 주문할 때 재구매의사 💯
24.11.3.일,사장님이 정말 친절하시고 케이크도 너무너무 예뻐요🥹 덕분에 특별한 날을 더 기쁘게 기념할 수 있었어요 🩵
24.8.20.화,할머니 생신이라서 주문했어요! 앙금이 너무 달지도 않고 딱 좋았고 꽃색감 하나하나 너무 예뻤어요ㅠㅠ 할머니도 너무너무 좋아하셨어요! 예쁘게 잘 만들어주셔서 감사합니다~~
23.7.1.토,"색감도 예쁘고, 떡도 맛있고, 앙금도 엄청 달지 않아서 좋아요! 두번째 방문이라하니 쿠키도 챙겨 주시고 친절하셔서 후기 올립니다"
21.11.4.목,쌀전병 소포장으로 여러개 부탁드렸는데 흔쾌히 해주셔서 잘 선물했습니다. 나중에 또 구매예정입니다
21.10.28.목,제가 지방에서 올라와서 대충 용산역에서 케이크 하나 받아갈라고 주문을 했는데요 참 이쁘니깐 아까워서 우째 묵노 하고 한 숟가락 퍼 먹자말자 다이렉트로 다 먹었습니다 처음 먹어보는데 입에 딱 맞아 잘먹었네요~ 감사합니다.
