date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""기본 안주가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
7.22.화,밖에서 분위기가 좋아보여서 방문 다양한안주..
6.16.월,기본으로 나오는 콩나물국 건빵 손이 자주 가요 굿 메인 메뉴답게 두루치기는 사이즈도 크고 넘 맛있어요!!
8.14.목,후배와 함께 매콤 닭발 😁
8.10.일,٩(๑> ₃ < )۶♥
4.9.수,"한남동에 이렇게 편한 분위기의 술집 많지않은데, 너무 아늑하고 안주까지 맛있어서 자주 방문하고 있어요 :) 하이볼은 처음 주문해봤는데 요것두 너무 괜찮네요!!"
24.12.14.토,오랜만의 한남동 모임이었다. 2차 장소를 찾던 중 예전에 많이 들린 그리고 인기가 좋았던 한남동 그집 에 들리게 되었다.  그 전에 너무 잘 먹어서 예전에 먹었을 때 맛있게 먹은 누룽지탕을 주문했다. 육회가 진짜인데 주문 불가라 다른 메뉴 들도 다 좋은데 배불러서 시켰지만 맛있어서 다 끝내버린 듯 싶다.  단체손님도 있고 커플도 있고 하지만 듬성 듬성 자리가 예전 대비 비어있음이 아쉬웠다. 매일 만석이었는데 토욜 저녁에 일러서 그런가 그래도 추억의 맛을 즐기고 가는 느낌이었다.  여기 메뉴는 다 괜찮아서 가성비가 매우 좋은 곳이기에 추천 추천한다!  이쁠때 사진이나 동영상을 못찍은건 아쉽 ㅜ
3.1.토,닭목살 소금구이 👍 진심 맛있었음~  언제나 만석 인기짱 한남동그집
6.6.금,김치우동만두전골 ~!술안주로 굿 얼큰하니 맛있어여
6.10.화,반응 남기기 방문일 6.10.화 2025년 6월 10일 화요일 1번째 방문 인증 수단 영수증
24.12.2.월,테이블이 다닥다닥 좁지만 그또한 즐거운 집입니다. 흘러나오는 노래가 자꾸만 떼창하고 싶게 만들고 음식도 다 좋아요. (외부화장실이 ㅠㅠ 아쉽지만..) 암튼 한남동 갈때 꼭 마지막차로 가고 싶은 집입니다.
3.24.월,반응 남기기 방문일 3.24.월 2025년 3월 24일 월요일 1번째 방문 인증 수단 영수증
24.11.16.토,비오는 날 시원한 살얼음 막걸리와 해물파전 먹었어요-! 너무 맛있어용
24.11.9.토,일단 술장고에서 술나옴니다 슬러시 가능이고요 안주다양하고 분위기 좋아요👊🏻
24.11.11.월,메뉴 다양해서 올때마다 새로운 메뉴 맛보게 돼요!! 취향저격임
24.8.18.일,한남동술집 중에 안주맛집으로 손꼽는곳! 제 입맛에 진짜 찰떡인곳이라 쏘맥 생각날때 무조건 찾아 가는데요. 새로운 신메뉴도 많아져서 너무 좋네요! 사장님 손맛이 더 좋아지신건지…왜이리 맛있는거냐며.. 덕분에 이번주도 폭풍 달리고 왔습니다ㅎㅎ
24.10.7.월,오랜만에 왔는데 여전히 맛있네요 한남동의 스테디샐러 같은곳 ..술먹기 편하고 역시 맛있어요 ㅋㅋ 또 올게용 !!!
24.10.7.월,한남동에서 편하게 소주먹기 너무 좋은곳! 도전해본 안주 모두 성공했어요 :) 재방문 무조건입니다💚💚💚
24.11.30.토,모든 안주가 맛있고 분위기도 좋고 지인들과 가면 다들 좋아해요.
24.8.31.토,"짜파구리 비싸다 싶긴 한데 양이 진짜 많이 나와요!! 기본안주 건빵튀김은 인간사료입니다,,, 한남동에서 오랫동안 장사하는 이유가 있음ㅠㅠ"
24.7.27.토,항상 술먹으러 갈때마다 직원들도 친절하시고 안주 양도 많고 너무 맘에 드는 술집이에요 ㅎㅎ
2.14.금,반응 남기기 방문일 2.14.금 2025년 2월 14일 금요일 1번째 방문 인증 수단 영수증
24.12.18.수,북어해장탕 맛있어요 ㅋㅋㅋ
24.10.8.화,"처음 가봤는데, 음식도 맛있고 빨리 나와서 좋아요! 한남동주는 조금 연했어요!"
24.9.15.일,빈자리가있어서 갔는데 흠...
24.9.13.금,반응 남기기 방문일 24.9.13.금 2024년 9월 13일 금요일 1번째 방문 인증 수단 결제내역
24.6.22.토,고추장찌개 묽은 국물인데 맛나요 똥집볶음은 똥집보다 부가적인 양파랑 마늘이 많아서 좀 아쉬웠어오.
24.10.17.목,반응 남기기 방문일 24.10.17.목 2024년 10월 17일 목요일 1번째 방문 인증 수단 영수증
24.8.18.일,짜파구리 해물구리로 이름 바꾸셔야할 듯 홍합 짱많아요 ㅋㅋㅋㅋㅋ 존맛탱!!!!!!
24.9.7.토,조용하고 음식도 다 무난해요
24.9.27.금,반응 남기기 방문일 24.9.27.금 2024년 9월 27일 금요일 1번째 방문 인증 수단 영수증
24.9.24.화,반응 남기기 방문일 24.9.24.화 2024년 9월 24일 화요일 1번째 방문 인증 수단 결제내역
24.8.17.토,안주는 나름 괜찮았는데 물컵에서 소주맛 나서 당황스러웠어요. 막걸리가 맛도 시큼해서 안 먹고 나왔습니다.. 네…
1.18.토,반응 남기기 방문일 1.18.토 2025년 1월 18일 토요일 1번째 방문 인증 수단 결제내역
24.2.17.토,오돌뼈.. 맵긴 한데 너무 맛있다 주먹밥도 너무 맛있고 오돌뼈랑 조합이 미쳤음.. 동동주도 얼음까지 타줘서 술술 넘어간다 너무 맛있음 추천!! 🙆🏻‍♀️
24.2.24.토,한남동에서 늦게까지 영업하는 한남동그집. 우선 안주 종류가 엄청 많아요. 그리고 신가한 술들이 있는데 레몬깻잎 소주가 있어서 시켜봤는데 괜찮았어요. 알쓰들 추천!!
24.3.15.금,꽁치찌개가 ㄹㅇ 맛도리 별미... 소주 술술 넘어가네요 최고 !!!!!!!!!
23.12.27.수,북적북적 술맛나는 전형적인 술집. 안주 양도 많아서 가성비를 느끼기에 충분했다. 직원분들 친절함은 덤!!
24.8.2.금,반응 남기기 방문일 24.8.2.금 2024년 8월 2일 금요일 1번째 방문 인증 수단 영수증
24.3.27.수,안주 다 맛있고 친근한 주점 분위기라 너무 좋아요~
23.12.23.토,오돌뼈 생각보다 맛있어서 놀랐네요ㅋㅋㅋㅋ 주먹밥 따로 시키려다가 있다고 해서 다른 메뉴 더 시킬 수 있었어요 좋습니다!!ㅋㅋㅋㅋ또 시켜먹고 싶네요
24.4.15.월,반응 남기기 방문일 24.4.15.월 2024년 4월 15일 월요일 1번째 방문 인증 수단 영수증
24.2.24.토,늘 다시오게되는 한남동 그집 비오는날 또오니 좋네~~ 흥해아!
24.1.7.일,"여러분 가지 마세요 세상에 이런 대우는 또 처음 받아보네요 아무리 맛있고 유명하다 한들 어깨가 산 만큼 올라가서 고객한테 이렇게 대하는 곳은 세상천지에 없을 겁니다~ 저희가 백번 잘못했다 치고 인정한다 해도 과연 그렇게 대해도 괜찮은 건가요? 대단하신 점장님께서ㅋ 본인의 기분이 나빴기 때문에 저희보고 그렇게 행동했으면 안 됐다네요 고작 가위 하나 마음대로 가져다 썼다고 말이죠^^ 기분좋게 모인 신년회였고 8명 멤버였는데.. 안 간지 좀 됐지만 한동안 단골이었고 추천도 많이 했던 술집인데 최악이네요. 그 잘나신 점장님 퇴사시키시지 않는 이상 과연 이렇게 장사하셔도 될런지, 장사 더 하시며 살아남으실 수 있는지 의문입니다. 일단 저희는 발길 끊으렵니다."
24.5.1.수,반응 남기기 방문일 24.5.1.수 2024년 5월 1일 수요일 1번째 방문 인증 수단 영수증
24.2.13.화,반응 남기기 방문일 24.2.13.화 2024년 2월 13일 화요일 3번째 방문 인증 수단 영수증
24.1.9.화,모임/회식 장소로 무난무난~
24.1.3.수,여기 완전 내 깔이잖니..
24.3.23.토,반응 남기기 방문일 24.3.23.토 2024년 3월 23일 토요일 1번째 방문 인증 수단 영수증
23.10.10.화,선술집 같은 분위기로 한잔하기 좋네요
23.10.19.목,맨날 이 근처 지나가면 항상 사람이 북적여서 한 번 방문해봤는데 안주 가성비 좋네요 ㅎㅎ
23.8.5.토,분위기 좋고 안주도 맛있어요.
23.7.18.화,한남동 터줏대감 같은 느낌으로 은근 자주 찾게 되는 집이에요 안주도 전반적으로 다 맛잇고 정감가는곳! 제 동네 단골술집 중 한곳이네요 ㅎ
23.7.24.월,여기만큼 안주도 다 맛있고 양 많은곳 흔치 않은듯요 단골술집으로 딱입니다! 오늘도 역시나 그집에서 달려 달려~
23.9.8.금,레트로 분위기 좋아요.
23.9.28.목,가성비 좋고 맛있어요
23.7.27.목,직원들이 친철했고 매장도 깔끔해서 좋았어요!! 메뉴가 너무 많아서 고르기 힘들었지만 2차로 온거여서 간단하게 먹을 수 있는 메뉴들로 선택해 먹었어요! 원래 큰 부담 없이 먹을 수 있는 메뉴가 맛있으면 주 메뉴는 그냥 말이 필요 없겠죠? 밥도 먹을 수 있는 술집이여서 다음에는 1차로 와서 메뉴 다 뿌실 생각입니다!!!! 번창하세용!!!!!👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻
23.12.16.토,반응 남기기 방문일 23.12.16.토 2023년 12월 16일 토요일 1번째 방문 인증 수단 영수증
23.3.9.목,두번째 방문!! 둘이 먹이엔 김치보쌈 가격이랑 양이 좀 많기는 하지만 맛있었어요!!! 후 늦게 까지 오픈 되어 있는것도 좋아요! 한남동 주민으로써 늦게까지 오픈해서 늦은시간 가기 좋고 안주는 기대 이상 맛있어요👍🏻👍🏻 보쌈고기+볶음김치+두부+숙주볶음 조합 어무 좋네요😍
23.9.23.토,반응 남기기 1 명 방문일 23.9.23.토 2023년 9월 23일 토요일 1번째 방문 인증 수단 영수증
23.7.16.일,알바생 무리끼리 화장실갈 때 한명이 쳐다보고 1초있다가 다같이 쳐다보고 웃고 ㅋㅋㅋ 딱봐도 손님 뒷얘기하는데 알바를 자르던가 하셔야 될거같은데 사장님은 친절하신데 기분 나빠서 다신 안갈듯요 ㅎ진짜 예의라곤 갖다 버린 알바생들이네
23.7.22.토,전지나가다 편하게 먹기 좋을거 같아서 갔는데 또 왔어요 ㅋ딱 좋아요안주도 맛있고 ㅋㅋ 술먹기 딱임 .은근 이런 기본기있는 주점 찾기 힘든데 .. 오래오래 장사해주세요 ㅋㅋ
23.6.11.일,우연히 갔는데 괜찮았습니다
23.6.1.목,요즘 핫한 이미스!물건이 젤 많은거 같아요
23.9.24.일,반응 남기기 방문일 23.9.24.일 2023년 9월 24일 일요일 1번째 방문 인증 수단 영수증
23.7.30.일,너무 맛있습니다 • 영업도 오래 하셔서 너무 좋아요!! 빙수 잘먹었습니다
23.4.6.목,사장님도 친절하시고 음식도 맛나용~
23.9.3.일,반응 남기기 방문일 23.9.3.일 2023년 9월 3일 일요일 1번째 방문 인증 수단 영수증
23.6.17.토,반응 남기기 방문일 23.6.17.토 2023년 6월 17일 토요일 1번째 방문 인증 수단 영수증
23.6.11.일,"모자 푹 눌러 쓰고 기분 나쁘다는 듯 메뉴판 던지고, 손님 담배피러 나가면 뒷담하는 모습에 박수 👏"
23.7.7.금,반응 남기기 방문일 23.7.7.금 2023년 7월 7일 금요일 1번째 방문 인증 수단 결제내역
23.8.7.월,반응 남기기 방문일 23.8.7.월 2023년 8월 7일 월요일 1번째 방문 인증 수단 영수증
23.7.16.일,직원분들 친절한듯 어색하시고~불친절한듯 시크하시고~ㅎㅎ 나름 좋은듯 아닌듯 묘한 매력이 ㅋㄷ 편하게 한잔하기 나름 괴안음
23.4.27.목,2차로 우연히 들른곳인데 안주종류가 많더라구요 치킨 튀김옷 얇고 맛있어요
23.5.3.수,낙지복음 정말 맛있어요.
23.2.26.일,자리는 좀 불편하지만 안주가 맛있고 양이 많아요! 분위기도 좋아용!
23.3.1.수,먹느라 사진은 못찍었는데 안주 너무 맛있고 직원분들도 친절하세요!! 술마시기 좋아요!👍🏻👍🏻
23.4.2.일,통오징어 토마토 스파게티? 인가 무튼 넘 매콤하고 맛있어요 ㅎㅎ
23.2.27.월,포장마차 같은 가성비 좋은 선술집. 2차로 들리기에 편안하다..
23.8.18.금,반응 남기기 방문일 23.8.18.금 2023년 8월 18일 금요일 2번째 방문 인증 수단 결제내역
23.1.22.일,김치찌개가 사골스프 맛 나긴해요.... 스팸 후라이 맛있어요!
22.12.1.목,김치찌개에 들어가는 고기 맛있어요 김치찌개도 한번 더 끓이면 맛있구요 보통 다른집은 김치찌개 고기에서 누린내? 나던데 이집은 돼지잡내 없고 맛있어요.
23.2.14.화,반응 남기기 방문일 23.2.14.화 2023년 2월 14일 화요일 1번째 방문 인증 수단 결제내역
22.12.12.월,맛있게 잘 먹었습니다. 종업원분이 친절해요.
22.11.29.화,김치전 잘묵고 갑니다요^^번창하소서
23.1.31.화,반응 남기기 방문일 23.1.31.화 2023년 1월 31일 화요일 1번째 방문 인증 수단 영수증
22.12.8.목,반응 남기기 방문일 22.12.8.목 2022년 12월 8일 목요일 1번째 방문 인증 수단 결제내역
22.9.3.토,간단하게 한잔하기 좋네요!
22.11.29.화,반응 남기기 방문일 22.11.29.화 2022년 11월 29일 화요일 1번째 방문 인증 수단 영수증
22.9.16.금,굿 시끄럽긴 한데 간단하게 한잔하기 좋음여
23.3.13.월,반응 남기기 방문일 23.3.13.월 2023년 3월 13일 월요일 1번째 방문 인증 수단 영수증
22.6.1.수,반응 남기기 방문일 22.6.1.수 2022년 6월 1일 수요일 1번째 방문 인증 수단 영수증
22.11.5.토,반응 남기기 방문일 22.11.5.토 2022년 11월 5일 토요일 1번째 방문 인증 수단 영수증
22.10.20.목,반응 남기기 방문일 22.10.20.목 2022년 10월 20일 목요일 1번째 방문 인증 수단 영수증
22.6.22.수,맛있고 좋아요 근데 건물 화장실 너무 구려요
22.9.17.토,반응 남기기 방문일 22.9.17.토 2022년 9월 17일 토요일 2번째 방문 인증 수단 영수증
22.7.9.토,반응 남기기 방문일 22.7.9.토 2022년 7월 9일 토요일 1번째 방문 인증 수단 영수증
22.7.6.수,반응 남기기 방문일 22.7.6.수 2022년 7월 6일 수요일 1번째 방문 인증 수단 영수증
22.7.29.금,반응 남기기 방문일 22.7.29.금 2022년 7월 29일 금요일 2번째 방문 인증 수단 영수증
22.3.30.수,항상 잘 해주셔서 좋더라구여~
22.2.19.토,한남오거리 이젠 좀 오래된 술집
22.6.13.월,반응 남기기 방문일 22.6.13.월 2022년 6월 13일 월요일 1번째 방문 인증 수단 영수증
22.5.2.월,반응 남기기 방문일 22.5.2.월 2022년 5월 2일 월요일 1번째 방문 인증 수단 영수증
22.5.2.월,반응 남기기 방문일 22.5.2.월 2022년 5월 2일 월요일 2번째 방문 인증 수단 영수증
22.5.2.월,반응 남기기 방문일 22.5.2.월 2022년 5월 2일 월요일 1번째 방문 인증 수단 영수증
22.3.30.수,반응 남기기 방문일 22.3.30.수 2022년 3월 30일 수요일 1번째 방문 인증 수단 영수증
22.3.27.일,반응 남기기 방문일 22.3.27.일 2022년 3월 27일 일요일 1번째 방문 인증 수단 영수증
22.9.21.수,반응 남기기 방문일 22.9.21.수 2022년 9월 21일 수요일 1번째 방문 인증 수단 영수증
22.8.30.화,반응 남기기 방문일 22.8.30.화 2022년 8월 30일 화요일 1번째 방문 인증 수단 영수증
22.5.13.금,반응 남기기 방문일 22.5.13.금 2022년 5월 13일 금요일 1번째 방문 인증 수단 영수증
22.4.9.토,반응 남기기 방문일 22.4.9.토 2022년 4월 9일 토요일 1번째 방문 인증 수단 영수증
22.5.13.금,반응 남기기 방문일 22.5.13.금 2022년 5월 13일 금요일 1번째 방문 인증 수단 영수증
22.1.29.토,반응 남기기 방문일 22.1.29.토 2022년 1월 29일 토요일 1번째 방문 인증 수단 영수증
21.11.23.화,술 마시기 좋았어요 ~~ 해물누룽지탕 맛나요
22.4.20.수,반응 남기기 방문일 22.4.20.수 2022년 4월 20일 수요일 2번째 방문 인증 수단 영수증
22.1.18.화,전맛탱 조금 춥지만 이겨냈슴다
21.12.31.금,반응 남기기 방문일 21.12.31.금 2021년 12월 31일 금요일 1번째 방문 인증 수단 영수증
22.3.27.일,반응 남기기 방문일 22.3.27.일 2022년 3월 27일 일요일 1번째 방문 인증 수단 영수증
21.12.26.일,맛있어요 한겨울에는 춥네요
22.7.20.수,반응 남기기 방문일 22.7.20.수 2022년 7월 20일 수요일 1번째 방문 인증 수단 영수증
21.10.7.목,안주가 대체적으로 맛있어요 갈때없을때 항상 가는곳 오래오래 장사해주세요 사장님
22.1.28.금,반응 남기기 방문일 22.1.28.금 2022년 1월 28일 금요일 1번째 방문 인증 수단 영수증
22.2.8.화,반응 남기기 방문일 22.2.8.화 2022년 2월 8일 화요일 1번째 방문 인증 수단 영수증
21.10.27.수,저의 최애집…!!!! 으뜸짬뽕탕 최고~~^^
21.9.9.목,여긴 친구들이랑 아지트 삼아서 자주 모이는 장소 안주가 딱 내 취향이라서 자주자주 갑니다 한남동 술집중 싸고 맘편하게 먹을수있는 몇 안되는 집 완전 조아요
21.8.31.화,"살면서 처음 네이버에 리뷰 작성해보는데, 그만큼 못참을만 했다는거죠. 비오는날 방문했는데 막걸리 주문하자 퉁명스럽게 다 나갔다고 말하는 알바생.옆 테이블에서 부침 종류 주문하자 재료가 없다는군요. 전종류 여러개를 여쭤보자 다 재료가 없다며. 장사를 하시겠다는건지.여기까지는 참을만 했지만 알바생과 점장? 사장 처럼 보이는 사람이 영업중에 테이블에 앉아서 지인과 함께 술한잔을 하는 모습을 보았는데 보기 안 좋더라구요. 엄연히 장사하시는 시간에 술을 드신다? 어떻게 믿고 저희가 다시 방문을 할 수 있겠습니까? 그리고 가게 창문 다 열어져 있는데 가게 앞에서 알바생과 사장님이 담배를 피시더라구요.창문 통해서 담배 연기 가게 안으로 다 들어오더라구요. 본사에 리뷰남기려 했지만 사이트에 리뷰창 없어 여기 남깁니다."
21.10.5.화,너무 맛있게 잘먹었습니다 !! 재방문 의사 있어용 ㅎㅎ
21.9.2.목,여기 안주맛잇어요 굿
21.10.26.화,재방문 의사있어요 :)
21.9.5.일,제일 좋아하는 한남동 단골술집 ㅎ
21.9.16.목,너무 맛있어요 🤗🤗
21.5.13.목,반응 남기기 방문일 21.5.13.목 2021년 5월 13일 목요일 1번째 방문 인증 수단 영수증
21.2.8.월,맛있어여 사람이 많았어용
20.10.27.화,짬뽕탕 맛있었는데 청냥고추 더 넣어야 칼칼하드라드구용
21.2.5.금,반응 남기기 방문일 21.2.5.금 2021년 2월 5일 금요일 1번째 방문 인증 수단 영수증
20.7.20.월,여긴 안주가 전체적으로 맛있어요!!!!!! 그런데 화장실이 너무 심각해요. 그래서 4저 ㅠㅠ
21.2.5.금,반응 남기기 방문일 21.2.5.금 2021년 2월 5일 금요일 1번째 방문 인증 수단 영수증
20.8.4.화,맛있는 그집.... 으뜸짬뽕탕이 저의 최애 랍니다~~^^* 너무 맛있어서 자주 들리는 곳이에요!!!
20.5.16.토,맛있어요! 양도 많고 테라스에서 먹었는데 분위기도 좋고!
20.7.17.금,반응 남기기 방문일 20.7.17.금 2020년 7월 17일 금요일 1번째 방문 인증 수단 영수증
20.5.28.목,반응 남기기 방문일 20.5.28.목 2020년 5월 28일 목요일 1번째 방문 인증 수단 영수증
20.6.16.화,반응 남기기 방문일 20.6.16.화 2020년 6월 16일 화요일 1번째 방문 인증 수단 영수증
19.12.4.수,반응 남기기 방문일 19.12.4.수 2019년 12월 4일 수요일 3번째 방문 인증 수단 영수증
20.1.18.토,호호홋 찌게에다가 소주 한잔했어용
20.2.29.토,반응 남기기 방문일 20.2.29.토 2020년 2월 29일 토요일 1번째 방문 인증 수단 영수증
19.10.22.화,반응 남기기 방문일 19.10.22.화 2019년 10월 22일 화요일 2번째 방문 인증 수단 영수증
19.10.19.토,"사람이 많아서 정신이 없어요, 자리가 너무 다닥다닥 붙어있어서 좀 불편합니다."
19.7.27.토,한남동그집 너무더웟을때갔는데 아직 그때마신 맥주맛이 잊혀지질않네요
19.3.21.목,반응 남기기 방문일 19.3.21.목 2019년 3월 21일 목요일 1번째 방문 인증 수단 영수증
