date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""직접 잘 구워줘요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""향신료가 강하지 않아요""","""향신료가 강하지 않아요"""
"""주차하기 편해요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
9.23.화,이쁜 동생들과 점심 첨 가봤는데 생각보다 맵지 않고 자극적이지 않았음
5.20.화,덕구숭 구경하러 가는 길에 점심으로 먹었어요. 곱창전골 2인 양이 많고 맛있었습니다! 살짝 더운 날이라 메뉴 고민을 했는데 먹길 잘 했어요. 추워지면 또 먹으러 오고 싶어요.  매장 넓어 단체 손님이 식사하기 좋을 것 같아요. 직원분도 친절하셔서 음식 저어서 끓여주시고 첫 그릇은 떠주십니다. 반찬도 부족해보이면 먼저 갔다 주셔서 감동했어요. 약간 손님이 적은 시간대여서 해주신 것일 수도 있습니다.  아무튼!!직장인 분들 매콤 칼칼한게 땡기실 때 오면 좋을 것 같아요!
6.11.수,"면과 떡이 들어있는 곱창전골. 직접 양념장을 풀어주시니 기다리시길.. 곱창 조금 쓴맛 있었는데 거슬리는 정도는 아니었고 국물이 엄청 개운합니다, 의외로 양념장 안 푼 것도 나름대로 맛있었음 ㅋ... 여기도 마찬가지로 엄청 자극적인 곱창전골 맛은 아니에요. 의외로 양이 많고 육수를 계속 추가해주셔서 저녁에 술 마실 때 먹으면 좋을 듯"
4.23.수,시청앞 최고급 회식 대명사 한성의 로스구이와 곱창전골. 1972년 시작되었으니 다운타운 노포다. 53년 동안 직장인들의 사랑을 받고 있다. 이제 세대가 바뀌어서 젋은 여성 직장인들도 많다. 로스구이부터 먹었다. 두툼하기 썰은 고퀄 소고기 등심을 잘 달궈진 철판에 올린다. 이 철판이 예술이다. 이미 오랜 세월 소고기 기름과 여러 양념을 머금고 있어서 철판에서 맛이 난다고도 할 수 있다. 등심이 구워진 비주얼 보면 느껴진다. 두께 덕에 겉바속촉이 아름답다. 곱창전골이야 말로 한성의 시그니처 메뉴다. 양념통이 주전자이다. 배합비율이 궁금한 전골 양념이다. 곱창과 양을 잘 다뤄서 부드러우면서 씹는 맛이 환상이다. 몇 번 씹지 못하는데 그 때마다 육즙이 베어나온다. 마지막에 볶음밥도 꼭 먹어야 한다.
10.1.수,곱창전골 가성비 최고예요. 맛도 양도 어느하나 빠지지 않는데다 직원들 모두 친절해서 식사내내 좋았어요. 술을 부르지만 차를 가지고 와서 ㅠㅠ 대중교통으로 와야지하면서 매번 차를 가지고 와요. ㅋㅋㅋ
5.23.금,"1972년부터 정동길목을 지켜온 노포. 로스구이와 양구이, 곱창전골까지 차례로 주문해 봤는데 곱창전골이 제일이었음. 냄새 안나고 깔끔함. 고기와 곱창전골집인데 김치가 안나오는 점은 아쉬움.."
6.24.화,한성은 고기 맛집인데 고기 먹고 먹어야 하는 곱창전골을 먹었다  아주 맛있다! 꼭 가봐야 할집 중 하나다
7.31.목,소곱창전골 16000 메뉴가 이렇게있어서 첨이라물어봤어요 1인분가격맞죠?하니 사장님께서 아니그럼 대중소 없으면 1인분이지 40년넘게 장사하면서 이런거 물어보는거 처음본다고 시비.여기까지 그러련히 했는데 처음오냐해서 검색해서 맛있어보여서 추천해서 데리고왔다니까 “맛없는데 배고파야 맛있겠지” 이래서 제가 맛없다구요? 했더니 요즘 어린애들 30-40대 애들은 말만하면 부정적이게 받아 들인다면서 애를 안키워봐서 그렇다는등 엄청 모욕적인말을해요 앞접시를 주셔셔 나눴더니 소리없이 손에쥔거 뺐고 기분좋게 회식 하러 갔다가 다들 기분나쁘고 스트레스 더 받았네요 그리고 갑자기 먼저 댓글같은거 안본다 했는데 찔리는게 있으신가 장사하는 분이 참 태도가 아닌것같네요 차라리 욕쟁이 할매가 남 정이라도 있지. 저도첨봐요 최악식당
6.26.목,맛있었네요! 처음 와봤는데 이거이거 물건입니다? 이미 유명한것같아 코멘트 더 붙이진 않습니다..맛 봐!
4.1.화,처음 방문했습니다. 지인들과 방문하였는데 점심시간에 이미 곱창전골을 미리 식탁에 올려놓고 손님들을 기다리고 있었습니다.  찬이 3개가 있는데 매우 맛깔스럽고 곱창전골이 정말 진하고 냄새도 없어서 좋았습니다.  직접 홀 매니저님들이 전골 요리해주시고 배분해주니 더 좋았어요  저녁에 또 갈게요!
3.27.목,1972년 이래로 곱창전골을 끓여온 노포. 내 입맛에는 곱창전골 중 단연 최고. 가격도 착하고 서빙하는 이모님들이 먹을 때까지 계속 챙겨주시는 것도 장점
5.16.금,진하면서도 깔끔한 육수와 곱창이 가득 들어간 곱창 전골집 식사로도 안주로도 너무 좋다 마무리 볶음밥도 추천
4.15.화,엄청 특별한 건 아니지만 무난하게 맛있어요! 끓이는 거 퍼주시는 거 다 해주십니다!! 근데 가격에 비해 양이 적다고 느꼈어요! 메뉴가 완전 반주지만... 테이블당 어떤 술이던 한병만 가능하더라구요... 넘 아쉽지만 그래야 테이블이 돌겠지 싶어서 이해 완료!!
3.6.목,곱창 짱많이 들어있고 소주 땡기는 국물맛이에요ㅎ
7.16.수,반응 남기기 방문일 7.16.수 2025년 7월 16일 수요일 1번째 방문 인증 수단 영수증
4.16.수,맛은 괜챦으나 사장님이신지 종업원인지 자기 멋대로임. 로스2인분 갈비살 2인분 먹은후 곱창전골을 먹을려고 했으나. 3+3인분을 계속 이야기함. 2인+2인을 시키겠다고 하니 그냥 곱창전골만 시키라고 함. 어쩔수 없이 6인분의 고기를 시키고 곱창전골을 먹음. 소스를 치우지 마라고 했으나 맘대로 소스를 치우고. 정말 어이없음. 이런 서비스 정신으로 장사하고 있는게 넘 신기함. 살다가 이런데는 첨 봄. 두번 다시는 가기 싫음.
1.9.목,이모님들이 너무너무 친절하셔서 감동이였어요🤍 점심시간에는 대부분 전골을 드셔서 세팅이 미리 되어 있어서 빠르게 먹기 좋았네요!! 깔끔하니 점심으로 먹기 좋았어요💕
