date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""매장이 청결해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""아이와 가기 좋아요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
8.26.화,포천찐찐 한우맛집 진짜 입에서 사르르 녹아요 아이가 한판더 원해서 추가주문하고 배터지게 먹었어요 된장찌개와 육회비빔밥도환상 무조건 드셔보세요 맛있게 잘먹고갑니다 자꾸생각나는 고기맛이에요
9.17.수,투뿔인거죠 안봐도 맛있어요 ㅎ 고기에 비빔밥에 된장찌개 다 먹고왔어요~~
8.30.토,버터 먹인 것 같은 소고기맛👍🏻👍🏻 가족들이랑 포천갈때마다 늘 방문하는데 항상 맛있고 친절해서 좋아요
9.21.일,친절하고 맛이 좋아요
9.9.화,버섯불고전골 참 앗있어요.~~ 친절한 곳 항상 감사합니다
5.15.목,고기는 말할것두 없이 좋고 넘 맛있어요!!!! 반찬도 깔끔하고 김치 넘 맛있어서 세접시나 먹었어요! 된장술밥도 진짜 구수하고 맛있어서 한냄비 뚝딱 했답니다 사장님도 친절하시고 앞으로 소고기는 한우마루입니다🖤
4.17.목,포천으로 가족여행 가면서 근처에 사는 지인에게 추천받아 갔어요 현지인맛집으로 유명하다고 ㅎㅎ 한우 특수부위랑 육회비빔밥 냉면 등 골고루 시켜먹었는데 우선 고기가 넘 좋습니다 250g이 거의 3인분이 되서 푸짐하게 먹을정도로 양도 넉넉한데 투뿔의 마블링이 끝내줘요~ 점심에 가서 다들 육회비빔밥드시길래 그것도 시켰는데ㅜ안시켰으면 큰일날뻔요 ㅎ 특제 고추장 소스가 맛나더라구요 고기 다먹고 된장술밥 만들어주시는데 된장 직접 만드시는지 맛이 남달랐습니다 퍼묵퍼묵 했네요 무엇보다 38개월 아이랑 같이 갔는데 간식에 김에 계란에 아낌없이 서비스해주시고 배려해주셔서 정말 감사드린다고 말씀드리고 싶었어요 맛집에 친절왕 일부러라도 꼭 가야할집입니다^^
4.17.목,포천여행 가는길 들른 한우마루♡ 한우가 입에서 그냥 녹아요 녹아 육회비빔밥은 간도 쎄지 않았는데 왜 입에 촥촥 달라붙어서 한그릇 싹싹 다 비벼 먹게 만드는건지..ㅎ사장님도 친절하셔서 즐거운 외식 할 수 있어서 좋았습니다~~
5.27.화,한우 맛집!! 고기가 입에서 사르르 녹는다는 표현이 딱 맞아요~ 역시 투뿔 한우 👍 고기 너무 좋고 반찬도 맛있답니다 육회비빔밥도 맛나요😋
6.6.금,이 정도 퀄리티의 고기를 이 가격에 먹을 수 있다는 것에 감사할뿐
8.12.화,반응 남기기 방문일 8.12.화 2025년 8월 12일 화요일 30번째 방문 인증 수단 영수증
24.11.8.금,#포천한우맛집 으로 이만한 곳 없는듯 합니다! 아주아주 살살 녹는 한우! 한우마루 최고에요👍🏻 너무너무 친절하시고 고기질도 너무 좋고 기분좋게 먹고 올 수 있는 곳이에요 부모님 모시고 재방문하고싶은곳👍🏻
24.11.15.금,친절합니다. 맛있는곳이에요. 항상 맛있는 집이에요.!!!
5.8.목,반응 남기기 방문일 5.8.목 2025년 5월 8일 목요일 29번째 방문 인증 수단 영수증
24.8.17.토,고기질이 좋아서 엄청 맛있어요 아기의자 세팅해주시고 닦아주시고 아기식기도 말안해도 가져다주세요 애기 김먹냐면서 애기밥까지 신경써주심🫶
24.8.31.토,"포천힐스에서 골프치고 온 식당인데 아주 가성비좋고, 맛도 좋아요~ 직원분들도 친절하셔서 친구들이랑 좋은시간 보냈어요~~~"
4.25.금,반응 남기기 방문일 4.25.금 2025년 4월 25일 금요일 3번째 방문 인증 수단 결제내역
1.2.목,가격대비 고기는 아닌것 같음!!
24.12.24.화,반응 남기기 방문일 24.12.24.화 2024년 12월 24일 화요일 28번째 방문 인증 수단 영수증
24.9.10.화,사장님이 엄청 친절하셔서 기분 좋고 맛있게 잘 먹었습니다!
24.5.1.수,맛있게 먹었어요~ 고기도 질도 좋은거 같아요.. 반찬도 맛나고 공기밥에 나오는 된장찌개가 정말 맛있었어요~ 포천에 오면 또 오고싶어질듯이요~
24.11.12.화,반응 남기기 방문일 24.11.12.화 2024년 11월 12일 화요일 27번째 방문 인증 수단 영수증
24.10.31.목,반응 남기기 방문일 24.10.31.목 2024년 10월 31일 목요일 1번째 방문 인증 수단 영수증
24.11.22.금,반응 남기기 방문일 24.11.22.금 2024년 11월 22일 금요일 3번째 방문 인증 수단 영수증
24.4.10.수,너무맛있게 잘먹었어요!! 요즘 한우 먹으러가도 이런 고소함 못느꼈던것같은데 간만에 제대로 고소한 한우 먹고왔어요☺️☺️ 된장술밥이 이렇게 양많고 맛도리일줄알았다면...고기를 덜시켰을텐데..진짜 맛있었어요🥹 다음에 또 방문할게요!!🌼 다들 가시면..꼭 된장술밥해드시고오세용!! 소주가..술술 들어가는 밥이었슴다😂
24.8.6.화,반응 남기기 방문일 24.8.6.화 2024년 8월 6일 화요일 26번째 방문 인증 수단 영수증
24.2.1.목,"포천힐스cc,포천푸른솔cc근처에 인건비를 줄이고 좋은 한우를 좋은가격에 제공하는 한우맛집이에요 꽃갈비살 먹고 왔는데 식감이 좋고 육즙가득하고 육향도 좋은 최고에 맛이였어요 설 맞이 선물세트도 포장구입,택배하고 있어 식사후 구매도 많이 하시네요 주차장도 넓고, 매장도 넓어요 젊은 사장님 친절해서 기분좋게 식사했습니다."
24.3.8.금,정육식당이어서 품질 좋은 한우를 합당한 가격대에 먹을 수 있어요! ㅋㅋ 유명인들 싸인도 많이 걸려있는 맛집이더라구요 ㅋ
24.9.28.토,반응 남기기 방문일 24.9.28.토 2024년 9월 28일 토요일 2번째 방문 인증 수단 영수증
23.12.29.금,가성비 있는 가격으로 한우를 먹을 수 있는 식당이었어요. 갈비꽃살로 먹었는데 쫄깃하면서도 살살 녹는 맛..!! 밑반찬도 대체로 맛있고 차돌된장술밥으로 마무리하니까 깔끔하고 넘 배불렀어요!! 포천한우맛집으로 인정합니다. 매장도 넓어서 회식이나 단체모임으로도 좋겠더라구요!
24.11.5.화,반응 남기기 방문일 24.11.5.화 2024년 11월 5일 화요일 2번째 방문 인증 수단 영수증
24.6.20.목,반응 남기기 방문일 24.6.20.목 2024년 6월 20일 목요일 1번째 방문 인증 수단 결제내역
24.3.23.토,고기도 맛있고 된찌도 맛있었어용!!
24.6.12.수,반응 남기기 방문일 24.6.12.수 2024년 6월 12일 수요일 25번째 방문 인증 수단 영수증
24.7.2.화,반응 남기기 방문일 24.7.2.화 2024년 7월 2일 화요일 1번째 방문 인증 수단 영수증
24.1.25.목,지인들 모임에 갔는데 친절하시고 일단은 고기가 맛나요. 비빔밥도 최고예요 정육코너도 있어서 구매 할수도 있어 좋더라구요
