date,content
"""종류가 다양해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""품질이 좋아요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""분위기가 편안해요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""특색 있는 제품이 많아요""","""특색 있는 제품이 많아요"""
"""시설이 깔끔해요""",이 키워드를 선택한 인원
7.11.금,크랭크 각 센서 구입
6.20.금,반응 남기기 방문일 6.20.금 2025년 6월 20일 금요일 1번째 방문 인증 수단 영수증
6.14.토,인터넷보다 다소 비쌈
2.26.수,와이퍼 구매 했습니다. 사무실이 지하주차장 안에 있어서 조금 당황했는데 부품창고 처럼 엄청 물량이 많아보였어요. 특히 가운데 앉아계신 남자분이 친절하시고 업무처리도 빠르고 깔끔해서 좋았어요. 주차공간은 별도로 없어보였고 갓길에 주차해서 빠르게 구매하고 나왔습니다.
2.13.목,반응 남기기 방문일 2.13.목 2025년 2월 13일 목요일 1번째 방문 인증 수단 영수증
1.14.화,반응 남기기 방문일 1.14.화 2025년 1월 14일 화요일 1번째 방문 인증 수단 영수증
24.11.9.토,차가 오래되니 이곳저곳 손볼때마다 부품사러갑니다.
24.7.1.월,자동차 헤드라이트 전구 교체용으로 구매해서 직접 교체해 볼려고 합니다.
24.6.21.금,현대기아차 DIY 부품 교체하기 위해 현대모비스 부품 정품 구입할때 좋았습니다.
24.6.19.수,반응 남기기 방문일 24.6.19.수 2024년 6월 19일 수요일 1번째 방문 인증 수단 영수증
24.6.3.월,반응 남기기 방문일 24.6.3.월 2024년 6월 3일 월요일 2번째 방문 인증 수단 영수증
24.5.21.화,반응 남기기 방문일 24.5.21.화 2024년 5월 21일 화요일 1번째 방문 인증 수단 영수증
24.4.10.수,반응 남기기 방문일 24.4.10.수 2024년 4월 10일 수요일 3번째 방문 인증 수단 영수증
24.3.25.월,반응 남기기 방문일 24.3.25.월 2024년 3월 25일 월요일 3번째 방문 인증 수단 영수증
