date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""뷰가 좋아요""",이 키워드를 선택한 인원
3.7.금,할머니 불백 ㅎㅎ 가격도 착하고 맛있습니다! 밥양도 푸짐하게 주시고 반찬도 매번 다르게 나와서 좋습니다 ㅎㅎ
24.8.24.토,"느므느므 맛있어용^^♡ 인생맛집 찾았네요~  용답역 근처에서 문화프로그램이 있어 참여했다 들린곳이에요 한양대 학생들이나 주민들이 추천하는거보고 반신반의해서 들렸는데, 넘 맛있어요 저희는 남편이랑 저랑 아이랑 셋이 갔는데, 아이는 계란찜먹고 저희는 오징어볶음 먹었어요 오징어 볶음이 너무 맵지도 않고, 적당히 신라면 매운정도 되서 좋았어요  술 안주로도 딱이네요^^ 막걸리 먹었는데, 한병당 3000원 요즘 같은 고물가에 부담없이 먹을 수 있는 가격이네요 다른 술들도 저렴했어요 용답역 근처 놀러오신다면 한번 들리셔도 좋을듯요 반찬도 다 맛있답니다 계란찜은 저희가 중간에 먹다가 찍은꺼라서 납작한데 실제로는 더 먹음직스러워요 ㅎㅎ 저희는 용답역 근처나 한양대근처 올때 한번씩 드려야겠어요^^ #한양대맛집"
24.8.4.일,오징어불백을 이 가격에 좋긴 한데 반찬들이 간이 쎕니다. 계란찜은 양이 정말 좀 적네요. 좀 아쉬워요.
24.3.16.토,늦은 저녁시간에 갔다는 다행히 오픈중. 22시에 닫으시네요. 불백2인 먹었는데 엄청 맛있게 먹었어요ㅎ 참고로 할매는 안계셨어요.
24.8.13.화,반응 남기기 방문일 24.8.13.화 2024년 8월 13일 화요일 1번째 방문 인증 수단 영수증
24.3.2.토,반응 남기기 방문일 24.3.2.토 2024년 3월 2일 토요일 1번째 방문 인증 수단 영수증
23.11.24.금,새롭게 순두부찌개 먹어봤는데 싱거워용 안에 내용도 부실하니까 다른 거 드시는 거 추천할게요!! 여기 메인 메뉴들이 맛있어요
23.10.30.월,사진을 제가 못찍었네요  딝도리탕 간만에 먹었는데 더더 맛있어졌어요 지주는 아니지만 한달에 한번씩이라도 꼭 찾아가고싶은 집
23.11.28.화,진짜 맛있어요🥹🥹 나만 알고싶은 맛집.. 더 자주 올게요!!🩶🩶
23.10.14.토,사진을 못찍었네요 힐머님의 추억의불백 좋아요
24.2.19.월,불백 감칠맛 나고 맛있어요 삼겹살하고 볶음김치에 콩나물에 얹어 밥 한숱 먹음 넘 맛있어요~~
23.8.24.목,맛있고 가성비 좋아 자주 갑니다! 메뉴 다 맛있어요~ 계란찜은 추가 필수!!
23.9.21.목,반응 남기기 방문일 23.9.21.목 2023년 9월 21일 목요일 2번째 방문 인증 수단 영수증
23.6.9.금,음식도 괜찮고 사장님이 친절하십니다
23.5.31.수,반응 남기기 방문일 23.5.31.수 2023년 5월 31일 수요일 1번째 방문 인증 수단 결제내역
23.2.22.수,"불백 1인분 20번이상 사먹었어요... 그만큼 맛있다는 말이죠! 양도 많아서 2끼로도 가능! 모든 메뉴 1인분 가능이라 혼자 사는 자취생한텐 완전 굿입니다. 대부분 다 맛도 너무 좋구 할머니도 너무 친절하셔요~ 순두부찌개도 맛있고, 매운갈비찜도 달달하니 맛있어요!! 이제 이사해서 다신 못온다는게 너무 아쉽네요ㅠㅠ 오래 건강하세요 할무니~"
23.3.6.월,친절하시고 음식도 빨리 나왔어요 아 계란찜은 선택이 아닌 필수!
23.6.29.목,반응 남기기 방문일 23.6.29.목 2023년 6월 29일 목요일 1번째 방문 인증 수단 영수증
23.3.29.수,반응 남기기 방문일 23.3.29.수 2023년 3월 29일 수요일 1번째 방문 인증 수단 영수증
23.3.17.금,반응 남기기 방문일 23.3.17.금 2023년 3월 17일 금요일 1번째 방문 인증 수단 영수증
23.3.27.월,반응 남기기 방문일 23.3.27.월 2023년 3월 27일 월요일 1번째 방문 인증 수단 결제내역
22.11.8.화,반응 남기기 방문일 22.11.8.화 2022년 11월 8일 화요일 1번째 방문 인증 수단 영수증
22.6.16.목,반응 남기기 방문일 22.6.16.목 2022년 6월 16일 목요일 1번째 방문 인증 수단 영수증
22.3.8.화,반응 남기기 방문일 22.3.8.화 2022년 3월 8일 화요일 1번째 방문 인증 수단 영수증
21.8.19.목,매운 갈비찜 맛있었어요~ 밑반찬도 맛있어요 추천추처
21.3.4.목,집밥같은 불백! 맛있어요
21.3.26.금,반응 남기기 방문일 21.3.26.금 2021년 3월 26일 금요일 1번째 방문 인증 수단 영수증
20.8.10.월,반응 남기기 방문일 20.8.10.월 2020년 8월 10일 월요일 1번째 방문 인증 수단 영수증
