date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""잡내가 적어요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""술이 다양해요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""아이와 가기 좋아요""",이 키워드를 선택한 인원
"""향신료가 강하지 않아요""","""향신료가 강하지 않아요"""
9.5.금,"외국인 친구가 간장게장을 먹고싶어해서 검색하다 성수핫플에 있길래 당일 예약 후 방문했어요 ! 친구 만족도 100점 .. 간장게장 하나도 안짜고 어쩜 이리 맛잇나여 ..?  새우가 근데 너무 꼬들꼬들해서 사실 제일 맛있었어요🥹 새우 게 전복 연어 순으로 맛나요 !!! 🤍 다음에 또 와볼듯요  글구 저 하얀거 모찌리도후 아니에요 ,, 첨에 오해함 ㅎ .. 다들 왜 모찌리도후를 남기고가지 ??? 했능데 그릇!! ㅋㅋㅋㅋㅋㅋㅋㅋ암튼 다 맛잇어요"
9.5.금,반찬이 딱 먹기 좋은 만큼 다양하게 나오고 원하면 더 주세요. 새우장은 자극적이지 않고 속편하게 맛있게 먹을 수 있렀어요. 비린 맛도 없구요! 세팅도 신경써서 해주시는 것 같아서 기분 좋게 잘먹었습니다! 직원분도 친절하세요!😊
