date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""기본 안주가 좋아요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
6.30.월,"입장부터 퇴장까지 너무 친절💞스모키한 베이컨이 들어있는 기름지지않고, 너무 맵지않은, 중요한 건 너무 짜지않은 부대찌개 ! 저녁시간에만 주시는 달걀을 직접 후라이해서 먹는 작은 즐거움도 있었다 -"
9.29.월,맛이 나쁘지는 않습니다 그렇다고 특색있거나 특별히 맛있지도 않음 먹으려고 한술 뜨는 순간 찌개에서 벌레 나와서 말씀 드리니까 바꿔는 주시는데 벌레가 왜 들어갔냐며 심드렁하게 사과 한마디 없이 새 음식 내어주셨네요 새 찌개는 안에서 좀 끓여서 주셨어요 다른 테이블에서도 음식에서 뭐가 나왔는지 계산하려할 때 말하니 그 테이블은 결제 안 받으시고 저희는 라면사리 하나 빼주셨네요 ㅎㅎ^^ 전반적으로 남자 손님에게 아주 친절하셔서 벌레로 단백질 충전하고싶으신 남자분들께 추천합니다!!
9.29.월,그냥 사먹는 부대찌개맛 햄도 별로 맛없고 콩나물이랑 파채가 많아요 라면사리는 천원 추가 아저씨들 많길래 맛있나보다 했는데 별로… 그냥 시끄러워요 찌개에서 모기처럼 생긴 벌레 나옴 앉을 때부터 나방 같은 게 날아다니긴 했어요
3.19.수,너무너무 맛있어요!! 이른점심시간에 가면 여유롭게(?) 식사 할 수있어요 =)  공기밥 리필가능해요!!
24.11.13.수,의정부. 파주. 유명 맛집 보다 가성비 비교시 #맛이 쵝오인 부대찌개 #맛집. 강추해요~~
24.7.4.목,햄찌와베찌 네이버서 밀키트로 주문해 먹고 넘 맛있어서 성수동까지 왔는데 웨이팅 줄이 있을 정도로 역시나 인기 많네요~가성비 짱 ! 훈연 베이컨의 불향나는 부대찌개 맛있어요! 사장님도 친절해서 더 좋음~
24.11.8.금,좀 매워지긴 했지만 개운한 부대찌개를 먹을 수 있어요
24.7.4.목,여긴 성수동 찐맛집이라 점심때 가면 줄서야해요. 밖은 더워도 실내 들어서면 완전 시원해서 보글보글 끓여 먹는 부대찌개가 정말 맛있어요. 서글서글하신 사장님 친절하시고 피드백도 신속해서 기분좋게 식사할 수 있었어요. 늘 네이버스토아에서 주문배달 했는데 역시 본점에 가서 먹으니 더 맛있어요. 이열치열 부대찌개 한판으로 더위를 이겼어요~
24.12.23.월,반응 남기기 방문일 24.12.23.월 2024년 12월 23일 월요일 1번째 방문 인증 수단 영수증
9.17.수,반응 남기기 방문일 9.17.수 2025년 9월 17일 수요일 1번째 방문 인증 수단 영수증
24.11.29.금,반응 남기기 방문일 24.11.29.금 2024년 11월 29일 금요일 2번째 방문 인증 수단 영수증
24.4.29.월,어휴♡ 양이 어마어마 합니다 ~ 진짜 맛나게 먹구가요 ㅠㅠ
24.7.2.화,제법이니까 오지마세요 !!!! 맛있어요 ^^
24.7.4.목,와..싸장님 넘넘 친절하심요.. 또올께요~~
24.7.1.월,반응 남기기 방문일 24.7.1.월 2024년 7월 1일 월요일 4번째 방문 인증 수단 영수증
24.7.22.월,반응 남기기 방문일 24.7.22.월 2024년 7월 22일 월요일 1번째 방문 인증 수단 영수증
24.7.18.목,반응 남기기 방문일 24.7.18.목 2024년 7월 18일 목요일 2번째 방문 인증 수단 영수증
24.4.24.수,사장님이 매우 불친절
24.3.6.수,맛있게 잘 먹었어요!!
24.1.5.금,직장인들 점심으로 정말 훌륭하고 손색없어요 :)
24.6.3.월,양도 많고 점심먹기 좋아요.
24.5.13.월,양 많고 맛있어요
24.2.19.월,반응 남기기 방문일 24.2.19.월 2024년 2월 19일 월요일 15번째 방문 인증 수단 영수증
24.7.5.금,반응 남기기 방문일 24.7.5.금 2024년 7월 5일 금요일 3번째 방문 인증 수단 영수증
23.12.1.금,수제햄으로 맛보는 부대찌개 가성비 좋고 맛 좋고
23.10.10.화,언제가도 맛있는 곳. 성수 직장인들 성지입니다. 퇴사 후에도 생각나서 자주 가요 ㅋㅋㅋ
24.1.15.월,반응 남기기 방문일 24.1.15.월 2024년 1월 15일 월요일 2번째 방문 인증 수단 영수증
23.11.6.월,점심때 종종 갑니다 주위 식당 비슷비슷한 중에 양많고 가성비 짱
23.12.12.화,반응 남기기 방문일 23.12.12.화 2023년 12월 12일 화요일 1번째 방문 인증 수단 영수증
23.12.19.화,반응 남기기 방문일 23.12.19.화 2023년 12월 19일 화요일 1번째 방문 인증 수단 영수증
23.11.14.화,반응 남기기 방문일 23.11.14.화 2023년 11월 14일 화요일 1번째 방문 인증 수단 영수증
23.11.3.금,반응 남기기 방문일 23.11.3.금 2023년 11월 3일 금요일 1번째 방문 인증 수단 영수증
23.8.4.금,국믈 깔끔하고 맛있어요
23.4.25.화,부대찌개 먹고싶을 때는 항상 여기 가요!! 사람많아서 웨이팅이 간혹 있기는하나 회전율이 빨라서 좋습니다~ 밥에 버터 추가하기로 약속 ~!
23.9.5.화,반응 남기기 방문일 23.9.5.화 2023년 9월 5일 화요일 3번째 방문 인증 수단 영수증
23.6.7.수,베이커 훈연된 향이 잘 베어들어 새로운 느낌의 부대찌개 맛이 만들어지네요. 정말 맛있게 잘 먹었습니다 ^^
23.11.29.수,웨이팅이 좀 있구요 맛있게 먹었음 반찬이 좀 다양했으면..
23.8.3.목,맛있어요 다만 베이컨에 뼈 부분이 제거 안되서 아쉬웠어요
23.9.15.금,맛있게 잘 먹었어요!
23.2.22.수,오랜만에 부찌 생각나서 찾아갔어용! 점심시간에 맞춰가니 5분 정도 웨이팅 있었지만 자리가 금방금방 나더라구요ㅎㅎㅎㅎ 너무 맛있었고 양도 많고 배불리 먹고 나왔습니당~!
23.6.14.수,나쁘지 않다 뚝섬점은 진짜 맛이없다 성수가 좋다
23.6.21.수,베이컨찌개가 새로웠고 서비스로 밥에 비벼먹을 수 있는 버터를 주셨어요👍🏻
23.7.26.수,반응 남기기 방문일 23.7.26.수 2023년 7월 26일 수요일 1번째 방문 인증 수단 영수증
23.11.15.수,반응 남기기 방문일 23.11.15.수 2023년 11월 15일 수요일 2번째 방문 인증 수단 영수증
23.2.15.수,부대찌개는 햄이 맛있어야 맛있져~ 베이컨도 들어가서 더 맛있었어요~
23.4.27.목,간만에 부대찌개 햄이 풍부하게 맛 있어요 만족스런 식사 즐겼어요
23.3.30.목,브레이크타임 5시까지 있으니 주의하세요!! 들어가도 멀뚱멀뚱 쳐다만 봄 내가 인사하고 내가 저기 서있는 직원에게 소리질러 주문하는 이상한 곳 넘 불친절해요
23.2.2.목,맛있어요! 근데 갔다오면 옷에 음식 냄새가 다 배임..ㅎ
22.11.17.목,맛있어요!!! 맨날 줄서는 이유가 있어요
23.4.4.화,줄서서 먹는 맛집이에요
23.2.20.월,베찌맛나요 담엔 햄찌먹으러 갈게요
22.12.12.월,예전에 더 맛있었는데 최근에 갔을때 맛이 좀 변했어요. 같이 갔었던 지인들도 맛이 좀 달라졌다고 하네요ㅜ 그래도 사람 많아서 점심시간에 웨이팅 있어요!
23.1.16.월,대기가 길어서 힘들지만 맛은보장합니다👍
23.3.2.목,반응 남기기 방문일 23.3.2.목 2023년 3월 2일 목요일 3번째 방문 인증 수단 영수증
23.3.2.목,반응 남기기 방문일 23.3.2.목 2023년 3월 2일 목요일 2번째 방문 인증 수단 영수증
23.3.2.목,반응 남기기 방문일 23.3.2.목 2023년 3월 2일 목요일 2번째 방문 인증 수단 영수증
22.12.13.화,회사 점심시간에 자주가요 다만 버터는 300원 따로 추가하셔야 받을 수 있습니다 ㅠ
22.9.30.금,햄과 베이컨이 있는 특이한 부대찌게. 특이한 맛이지만 재방문의사 없음. 버터로 밥을 비비는 것은 비추. 찌게에 치즈가 기본으로 있어서 느끼한 부대찌게임. 친절하지 않고 칼칼하고 해장을 원한다면 비추. 왜 맛집인지 이해 멋함.
23.2.9.목,반응 남기기 방문일 23.2.9.목 2023년 2월 9일 목요일 2번째 방문 인증 수단 영수증
22.12.14.수,부대찌게에 육수를 더 부어서 먹으니 간이 짜지않고 맛있어요
22.10.5.수,회사 다닐 때 많이 갔던 성수 찐 직장인 맛집입니다! 다시 오니 버터 값 따로 받더라구요~ 베이컨도 양이 좀 줄었지만 여전히 맛있었습니다!! 강추 ✔️밥에 버터 반만 넣고 국물 자작하게 비벼 먹으면 꿀맛입니다!
23.2.9.목,반응 남기기 방문일 23.2.9.목 2023년 2월 9일 목요일 1번째 방문 인증 수단 영수증
23.2.9.목,반응 남기기 방문일 23.2.9.목 2023년 2월 9일 목요일 1번째 방문 인증 수단 영수증
22.8.19.금,깔끔하고- 푸짐하고- 자극적이지 않고 너무 맛있어요! 비벼 먹기 좋게 큰 그릇에 나오는 밥도 너무 좋아요! :)
22.12.27.화,부대찌개 정말 맛있어요^^
23.1.31.화,반응 남기기 방문일 23.1.31.화 2023년 1월 31일 화요일 1번째 방문 인증 수단 영수증
23.2.28.화,반응 남기기 방문일 23.2.28.화 2023년 2월 28일 화요일 6번째 방문 인증 수단 영수증
22.12.22.목,반응 남기기 방문일 22.12.22.목 2022년 12월 22일 목요일 1번째 방문 인증 수단 영수증
