date,content
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""선물하기 좋아요""",이 키워드를 선택한 인원
"""주문제작을 잘해줘요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
9.9.화,요즘 먼작귀 햄스터에 푹 빠져있어서 샘플 보여드리고 주문했는데 기존 샘플보다 500배 더 예뻐용...!!!! 더 귀엽게 잘 만들어주셔서 덕분에 뜻깊은 기념일 보냈습니당❤️ 솜씨가 너어무 조으세용!!ㅎㅎ
7.19.토,웰시코기 강아지 키우는 친구한테 줄 선물로 주문제작 했는데 의뢰한 디자인이랑 똑같이 만들어주셨어요 😍 친구가 너무 너무 좋아했네요~ 케이크도 맛있어서 행복한 시간이 되었습니다.🐶🎂
8.9.토,집에서 가까워서 종종 이용하는 모리냥과자점🐱 여리여리 예쁜 사장님이 운영하시고 귀엽고 깜찍한 디자인이 많아여! 이번에 답프로포즈 하려고 케이크 구매했는데 아주 성공적이었어요❤️
9.1.월,"재방문은 없을 것 같아요ㅠㅠ 고퀄리티를 기대하고 공간 차지 안 하게 글씨도 아래에 신청했는데, 아시는 분들은 아시겠지만 특유의 러프한 느낌이 사라져 버렸어요 비율도 이상해요."
24.9.7.토,요청드린대로 너무너무너무 귀엽게 만들어주셨어요ㅠㅠㅠ 친구가 너무 좋아하더라구요ㅎㅎ 기대보다 더 귀여워서 다들 보라고 리뷰 씁니다 기념일엔 모리냥하세요🥰
23.11.17.금,"카톡 응답도 빠르고 제가 딱 요청한 디자인으로 케이크 만들어 주셨어요!! 남동생이 엄청 만족했고 역시 생일파티에는 특별함을 더하는 레터링 케이크가 최고인 거 같아요! 하지만 제가 지금까지 먹어 본 레터링 케이크 중에 가장 맛이 아쉬웠어요, 겉에 버터크림은 느끼하고 안에 초코시트랑 크림치즈생크림은 그냥 무난무난해서 엄청 맛있다는 느낌은 전혀 안 들고 먹을만하다 이정도..? 겉 크림은 정말 음..미끌미끌하고 맛자체가 아쉬웠어요.. 딱 기분 내기만 좋은 케이크여서 가격대비 맛이 아쉬운점 빼고 만족해요!"
24.3.2.토,반응 남기기 방문일 24.3.2.토 2024년 3월 2일 토요일 1번째 방문 인증 수단 영수증
23.5.20.토,주문제작케이크 두번째! 디자인도 맘에 들게 잘해주시고 무엇보다 맛도 최고에요 👍
23.4.28.금,형의 결혼소식과함께 생일이여서 처음으로 주문해봤는데 사장님이 너무 완벽하게 잘 만들어주셨어요!!! 케익도 너무맛있었고 다음 이벤트날에 또 주문해야지
23.3.6.월,케이크 너모너모 이뻐용 🧡❤️
22.1.2.일,반응 남기기 방문일 22.1.2.일 2022년 1월 2일 일요일 1번째 방문 인증 수단 영수증
21.4.4.일,"케이크 정말 너무 귀엽고 너무 예뻐용 ㅠㅠㅠ❤ 사장님도 넘 친절하시구ㅎㅎㅎ 생각보다 케이크 크기도 커서 놀랐네용🥰 예쁘기만 하고 맛은 별로인 케이크도 많이 봤는데, 여기는 맛까지 완벽...❤ 너무 맛있어서 순삭 했습니다!"
21.7.31.토,반응 남기기 방문일 21.7.31.토 2021년 7월 31일 토요일 1번째 방문 인증 수단 영수증
21.4.4.일,주문 케이크 사러가면서 컵케이크가 너무 이쁘길래 같이 구매해서 먹어봤는데 시트가 너무 맛있어요ㅜㅜ 크림도 느끼하지 않고 딱 적당하구요👏🏻👏🏻 아아랑 먹으니까 너무 좋아요! 여기 케이크 먹고 싶을 때마다 가야겠어요~ 대박나세요ㅎㅎ
21.3.28.일,"사장님 친절하시고, 달고 맛있어요!"
21.5.7.금,반응 남기기 방문일 21.5.7.금 2021년 5월 7일 금요일 1번째 방문 인증 수단 영수증
21.4.21.수,가게도 케익도 다 너무 예뻐요♥
21.3.26.금,반응 남기기 방문일 21.3.26.금 2021년 3월 26일 금요일 1번째 방문 인증 수단 영수증
,본 게시물은 정보통신망 이용촉진 및 정보보호 등에 관한 법률 제 44조 2항을 준수하기 위해 다른 이용자의 요청으로 삭제되었습니다.
