date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""기본 안주가 좋아요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""술이 다양해요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""혼술하기 좋아요""",이 키워드를 선택한 인원
"""파티하기 좋아요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""뷰가 좋아요""",이 키워드를 선택한 인원
10.11.토,"추석 연휴 주말, 남편이랑 범계역술집 행복한집 다녀왔어요.  해물해장파스타는 얼큰하고 깊은 국물 맛이 진짜 시~원해요ㅋㅋ 처음 맛보는 맛이에요 술마시면서 해장하는 느낌! 해산물도 듬뿍 들어가있어서 아주 만족하면서 먹었네요ㅎㅎ  쏘핫행복닭강정은 달콤함 뒤에 매콤함이 터지면서 중독성 폭발이에요! 닭고기 속살이 닭다리살처럼 촉촉해 쭉쭉 들어가요ㅠ 식욕을 확 돋게해주는 양념  주변 손님들 보니까 안주를 다양하게 시키더라구요 그만큼 맛있는 안주가 많다는거셌죠? 다음에는 다른 메뉴 맛보러 가겠습니다❤️ 주말에 손님 너무 많으셔서 평일에 갈게요ㅠ  술마시러 갔다가 아주 배불리 잘먹고갑니다🫶"
