date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""기본 안주가 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""술이 다양해요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
7.19.토,자주 가는 곳 퀘사디아가 맛있음
6.7.토,반응 남기기 방문일 6.7.토 2025년 6월 7일 토요일 2번째 방문 인증 수단 영수증
4.19.토,행쇼는 화장실이 안에있어서 갑니다 음식은 아리송한 맛이지만 먹을만하고요 생맥주 시원합니다
9.21.일,반응 남기기 방문일 9.21.일 2025년 9월 21일 일요일 1번째 방문 인증 수단 영수증
1.22.수,차돌부대찌개랑 치킨반반시켜먹었는데 맛있어요~ 사장님 친절하세요 ㅎㅎㅎ 근데 단체손님이있어서그런지 시끄러워서 말할때 크게말해야돼요
6.6.금,안주 맛있어요 주변 앵간한 곳들 보다 낫습니다~
24.9.10.화,오픈한지 3개월정도됐다고하시는데 음식너무맛있어요 특히 순두부찌개랑 파전 진짜 최고예요ㅋㅋㅋㅋ 사장님도 친절하시고 매장도 깨끗하고 화장실도 실내에있고 다 좋았어요~ ㅎㅎㅎ 재방문의사있어요😊😊
4.18.금,반응 남기기 방문일 4.18.금 2025년 4월 18일 금요일 1번째 방문 인증 수단 영수증
24.8.1.목,치킨퀘사디아 진짜 푸짐하고 든든합니다ㅋㅋㅋ 의외로 치킨이 너무 맛있어서 놀랐어요 소주 생맥주 너무너무 시원해서 좋았고 화장실 안에 있고 깨끗해서 민감하신 분들도 편하게 이용하실 수 있어요ㅋㅋ 오징어볶음을 많이 시켜드시던데 다음 방문엔 야무지게 소면사리 추가해서 먹어보려구요.
24.9.10.화,4번째 정도 방문하는데요. 갈때 꼭 지인한명과 보통 두명이 방문해서 늘 안주 2개를 시키고 술도 꽤 기본이상 마시는데 분위기나 맛이 좋아서 방문했는데 어제는 매우 불쾌해서 리뷰남깁니다. 더워서 일단 메뉴판좀 더 보고 시킬 생각에 저번처럼 팥빙수 먼저 말씀드렸는데 자리도 안오시고 큰소리로 멀리서 사이드만 안된다면서 한번도 그런적도 없었고 저희가 사이드만 시킬것도 아니었는데 조금 어이가 없었는데 멀리서 소리지르셔서 그다음에 술을 시켜야하는데 벨안눌렀다고 눈치주고 가시고 그뒤로 술 조금 빨리 시키니까 갑자기 태도가 달라지시는게 .. 올때마다 늘 젊은 직원분 친절하고 매장에 최소한의 피해는 없게 잘 먹고 갔다고 생각하는데 손님 얼굴 기억못하는건 상관없는데 그 나이드신 여자분이 갑자기 서비스가 바껴서 좀 당황스럽네요
1.2.목,반응 남기기 방문일 1.2.목 2025년 1월 2일 목요일 1번째 방문 인증 수단 결제내역
1.2.목,반응 남기기 방문일 1.2.목 2025년 1월 2일 목요일 1번째 방문 인증 수단 영수증
3.18.화,반응 남기기 방문일 3.18.화 2025년 3월 18일 화요일 1번째 방문 인증 수단 영수증
24.10.27.일,간단히 마시기 좋아요
24.9.28.토,반응 남기기 방문일 24.9.28.토 2024년 9월 28일 토요일 1번째 방문 인증 수단 영수증
24.8.17.토,표정을 눌러 반응을 남겨 보세요! 반응 남기기 1 명 방문일 24.8.17.토 2024년 8월 17일 토요일 1번째 방문 인증 수단 영수증
24.7.13.토,반응 남기기 1 명 방문일 24.7.13.토 2024년 7월 13일 토요일 1번째 방문 인증 수단 영수증
