date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
24.6.10.월,매장이 작지만 음식들이 맛있어서 자주 가는 곳입니다. 배달 주문이 많아서 항상 바쁘시더라고요
24.2.6.화,항상 친절하시고 따뜻하게 바로 먹는돈까스 ㅋㅋ돈까스생각나는 날에는 항상찾는집
24.1.25.목,늘 친절하게 맞이해주셔서 감사합니다 오늘도 잘 먹었습니다🙏
23.5.7.일,처음먹어봤는데 진짜 맛있더라구요
23.4.2.일,간편히 먹기 좋습니다 휴일에 근처에 하는 음식점이 없어요
23.5.5.금,반응 남기기 방문일 23.5.5.금 2023년 5월 5일 금요일 1번째 방문 인증 수단 영수증
23.1.8.일,반응 남기기 방문일 23.1.8.일 2023년 1월 8일 일요일 1번째 방문 인증 수단 결제내역
22.12.14.수,반응 남기기 방문일 22.12.14.수 2022년 12월 14일 수요일 1번째 방문 인증 수단 영수증
22.12.8.목,돈까스 메뉴 특이한거 많고 맛있어용 :)
22.2.2.수,슬라이스한 양파가 잔뜩 올라간 양파돈까스. 새콤달콤한 소스와 잘 어울려요. 떡볶이도 낫배드예요. 매장도 깨끗하게 잘 관리된 느낌이에요. 잘 먹었습니다.
22.3.10.목,반응 남기기 방문일 22.3.10.목 2022년 3월 10일 목요일 1번째 방문 인증 수단 영수증
22.2.11.금,반응 남기기 방문일 22.2.11.금 2022년 2월 11일 금요일 2번째 방문 인증 수단 영수증
22.2.28.월,반응 남기기 방문일 22.2.28.월 2022년 2월 28일 월요일 1번째 방문 인증 수단 영수증
21.12.10.금,반응 남기기 방문일 21.12.10.금 2021년 12월 10일 금요일 2번째 방문 인증 수단 영수증
21.12.5.일,반응 남기기 방문일 21.12.5.일 2021년 12월 5일 일요일 1번째 방문 인증 수단 영수증
22.2.22.화,반응 남기기 방문일 22.2.22.화 2022년 2월 22일 화요일 1번째 방문 인증 수단 영수증
21.11.7.일,반응 남기기 방문일 21.11.7.일 2021년 11월 7일 일요일 1번째 방문 인증 수단 영수증
21.6.14.월,반응 남기기 방문일 21.6.14.월 2021년 6월 14일 월요일 1번째 방문 인증 수단 영수증
21.7.23.금,반응 남기기 방문일 21.7.23.금 2021년 7월 23일 금요일 2번째 방문 인증 수단 영수증
21.7.8.목,반응 남기기 방문일 21.7.8.목 2021년 7월 8일 목요일 1번째 방문 인증 수단 영수증
21.2.16.화,반응 남기기 방문일 21.2.16.화 2021년 2월 16일 화요일 1번째 방문 인증 수단 영수증
20.11.24.화,반응 남기기 방문일 20.11.24.화 2020년 11월 24일 화요일 1번째 방문 인증 수단 영수증
20.10.29.목,반응 남기기 방문일 20.10.29.목 2020년 10월 29일 목요일 1번째 방문 인증 수단 영수증
20.12.19.토,반응 남기기 방문일 20.12.19.토 2020년 12월 19일 토요일 1번째 방문 인증 수단 영수증
20.8.9.일,단체주문했는데 깔끔하고 맛도좋아요 양이많아요
20.9.15.화,반응 남기기 방문일 20.9.15.화 2020년 9월 15일 화요일 1번째 방문 인증 수단 영수증
20.6.9.화,반응 남기기 방문일 20.6.9.화 2020년 6월 9일 화요일 1번째 방문 인증 수단 영수증
20.2.23.일,돈가스맛있어요 떡뽁이도 짱
20.6.30.화,반응 남기기 방문일 20.6.30.화 2020년 6월 30일 화요일 1번째 방문 인증 수단 영수증
