date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
24.11.20.수,떡볶이 떡이 너무 딱딱해요.. 치킨은 잘 먹었습니다.
24.12.16.월,반응 남기기 방문일 24.12.16.월 2024년 12월 16일 월요일 2번째 방문 인증 수단 배달주문
24.9.23.월,양 많고 맛있어요.
24.8.20.화,가성비 좋은 치킨 맛집.
24.4.13.토,항상 여기서만 먹어요 맛있어요
24.4.28.일,반응 남기기 방문일 24.4.28.일 2024년 4월 28일 일요일 7번째 방문 인증 수단 영수증
24.3.26.화,맛나고 두가지 맛을 적정한 가격에 먹어요.
24.3.16.토,반응 남기기 방문일 24.3.16.토 2024년 3월 16일 토요일 9번째 방문 인증 수단 영수증
24.1.7.일,반응 남기기 방문일 24.1.7.일 2024년 1월 7일 일요일 7번째 방문 인증 수단 영수증
24.2.24.토,맛있어요 항상 치킨은 여기서만^^
23.12.15.금,할인행사 할 때는 바쁘셔서 가끔 콜라나 감자튀김 같은 사이드 메뉴를 빼고 배달 오세요.
24.2.12.월,양 많고 맛있어요.
23.11.6.월,반응 남기기 방문일 23.11.6.월 2023년 11월 6일 월요일 1번째 방문 인증 수단 영수증
23.12.28.목,양 많고 맛있어요.
24.2.3.토,반응 남기기 방문일 24.2.3.토 2024년 2월 3일 토요일 4번째 방문 인증 수단 영수증
24.1.7.일,양 많고 맛있어요.
23.12.15.금,반응 남기기 방문일 23.12.15.금 2023년 12월 15일 금요일 16번째 방문 인증 수단 영수증
23.11.28.화,가성비 좋고 맛도 좋은 곳
23.9.10.일,반응 남기기 방문일 23.9.10.일 2023년 9월 10일 일요일 3번째 방문 인증 수단 영수증
23.10.28.토,반응 남기기 방문일 23.10.28.토 2023년 10월 28일 토요일 5번째 방문 인증 수단 영수증
23.12.25.월,반응 남기기 방문일 23.12.25.월 2023년 12월 25일 월요일 3번째 방문 인증 수단 영수증
23.9.24.일,간장소스도 짠 게 땡길 때 먹으면 좋아요.
23.10.21.토,반응 남기기 방문일 23.10.21.토 2023년 10월 21일 토요일 4번째 방문 인증 수단 영수증
23.10.8.일,양 많고 맛있어요.
23.8.29.화,반응 남기기 방문일 23.8.29.화 2023년 8월 29일 화요일 2번째 방문 인증 수단 영수증
23.10.3.화,반응 남기기 방문일 23.10.3.화 2023년 10월 3일 화요일 13번째 방문 인증 수단 영수증
23.11.11.토,반응 남기기 방문일 23.11.11.토 2023년 11월 11일 토요일 2번째 방문 인증 수단 영수증
23.8.13.일,타코마요 수십 마리 먹었어요.
23.7.15.토,진짜 양 많이 주셨는데 끝까지 물리지 않고 맛있게 잘 먹었습니다!!!👍👍👍
23.8.22.화,반응 남기기 방문일 23.8.22.화 2023년 8월 22일 화요일 11번째 방문 인증 수단 영수증
23.7.26.수,오랜만에 후라이드로만 먹어봤는데 그래도 바삭하고 맛있네요.
23.9.20.수,반응 남기기 방문일 23.9.20.수 2023년 9월 20일 수요일 1번째 방문 인증 수단 포장주문
23.7.14.금,"호식이 가성비, 맛 짱"
23.8.11.금,반응 남기기 방문일 23.8.11.금 2023년 8월 11일 금요일 1번째 방문 인증 수단 영수증
23.7.21.금,타코마요와 감자튀김이 최고
23.8.4.금,반응 남기기 방문일 23.8.4.금 2023년 8월 4일 금요일 9번째 방문 인증 수단 영수증
23.7.13.목,주 1회 이상 먹어요.
23.6.25.일,반응 남기기 방문일 23.6.25.일 2023년 6월 25일 일요일 1번째 방문 인증 수단 영수증
23.9.8.금,반응 남기기 방문일 23.9.8.금 2023년 9월 8일 금요일 3번째 방문 인증 수단 영수증
22.12.19.월,깨끗한 기름을 사용하시네요 튀김의 바삭함을 느끼면서 맛있게 먹었어요 다음에 치킨 생각나면 여기서 또 주문할래요
23.5.5.금,호식이 두마리 치킨 맛있어요
22.11.19.토,호식이 두마리 치킨 처음인데 짱 맛남! 매운 간장 정말 맛있어요! 시부모님도 반한 호식이!!!
23.1.17.화,이 집 치킨 맛있습니다. 타코마요도 간장도 그냥 후라이드도 다 맛있어요. 로제떡볶이도 굿.
23.1.23.월,호식이 두마리인데 회전율이 좋아서 신선한듯
23.1.13.금,타코마요치킨이 요즘 자꾸 땡겨요.
23.1.6.금,여기 떡볶이도 맛있어요. 주 1회 이상 어떨 때는 3번 먹을 때도 있어요. 맛있어요.
