date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
24.3.3.일,반응 남기기 방문일 24.3.3.일 2024년 3월 3일 일요일 1번째 방문 인증 수단 영수증
24.3.3.일,반응 남기기 방문일 24.3.3.일 2024년 3월 3일 일요일 1번째 방문 인증 수단 영수증
24.1.12.금,반응 남기기 방문일 24.1.12.금 2024년 1월 12일 금요일 1번째 방문 인증 수단 영수증
23.9.1.금,반응 남기기 방문일 23.9.1.금 2023년 9월 1일 금요일 1번째 방문 인증 수단 영수증
23.2.14.화,쭈꾸미 불맛 최고
22.12.10.토,반응 남기기 방문일 22.12.10.토 2022년 12월 10일 토요일 1번째 방문 인증 수단 영수증
23.1.30.월,반응 남기기 방문일 23.1.30.월 2023년 1월 30일 월요일 1번째 방문 인증 수단 영수증
22.11.28.월,양이 많아서 좋아요!
22.10.11.화,반응 남기기 방문일 22.10.11.화 2022년 10월 11일 화요일 1번째 방문 인증 수단 영수증
22.11.21.월,반응 남기기 방문일 22.11.21.월 2022년 11월 21일 월요일 1번째 방문 인증 수단 영수증
22.6.12.일,반응 남기기 방문일 22.6.12.일 2022년 6월 12일 일요일 1번째 방문 인증 수단 영수증
22.6.12.일,반응 남기기 방문일 22.6.12.일 2022년 6월 12일 일요일 1번째 방문 인증 수단 영수증
22.3.4.금,처음 주문했는데 맛있네요~ 칼칼한 김치찌개 잘 먹었습니다~~
22.1.9.일,계란말이에 육회비빔밥 존맛탱탱구리에요👍
22.3.4.금,반응 남기기 방문일 22.3.4.금 2022년 3월 4일 금요일 3번째 방문 인증 수단 영수증
22.3.4.금,반응 남기기 방문일 22.3.4.금 2022년 3월 4일 금요일 1번째 방문 인증 수단 영수증
22.1.2.일,반응 남기기 방문일 22.1.2.일 2022년 1월 2일 일요일 1번째 방문 인증 수단 영수증
22.1.5.수,반응 남기기 방문일 22.1.5.수 2022년 1월 5일 수요일 2번째 방문 인증 수단 영수증
21.12.15.수,반응 남기기 방문일 21.12.15.수 2021년 12월 15일 수요일 1번째 방문 인증 수단 영수증
21.12.6.월,반응 남기기 방문일 21.12.6.월 2021년 12월 6일 월요일 1번째 방문 인증 수단 영수증
21.10.26.화,반응 남기기 방문일 21.10.26.화 2021년 10월 26일 화요일 1번째 방문 인증 수단 영수증
21.10.26.화,반응 남기기 방문일 21.10.26.화 2021년 10월 26일 화요일 1번째 방문 인증 수단 영수증
