date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
23.2.24.금,반응 남기기 방문일 23.2.24.금 2023년 2월 24일 금요일 1번째 방문 인증 수단 영수증
22.12.29.목,맛있게 잘 먹었습니다
23.2.13.월,반응 남기기 방문일 23.2.13.월 2023년 2월 13일 월요일 2번째 방문 인증 수단 영수증
22.12.4.일,반응 남기기 방문일 22.12.4.일 2022년 12월 4일 일요일 1번째 방문 인증 수단 영수증
23.2.20.월,반응 남기기 방문일 23.2.20.월 2023년 2월 20일 월요일 3번째 방문 인증 수단 영수증
23.2.7.화,반응 남기기 방문일 23.2.7.화 2023년 2월 7일 화요일 1번째 방문 인증 수단 영수증
22.11.18.금,반응 남기기 방문일 22.11.18.금 2022년 11월 18일 금요일 1번째 방문 인증 수단 영수증
22.11.30.수,반응 남기기 방문일 22.11.30.수 2022년 11월 30일 수요일 1번째 방문 인증 수단 영수증
22.3.20.일,반응 남기기 방문일 22.3.20.일 2022년 3월 20일 일요일 1번째 방문 인증 수단 영수증
21.12.29.수,반응 남기기 방문일 21.12.29.수 2021년 12월 29일 수요일 1번째 방문 인증 수단 영수증
