date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""야외공간이 멋져요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
5.3.토,사장님 립써비스 굿 아주 친절합니다
8.11.월,반응 남기기 방문일 8.11.월 2025년 8월 11일 월요일 1번째 방문 인증 수단 영수증
4.19.토,반응 남기기 방문일 4.19.토 2025년 4월 19일 토요일 1번째 방문 인증 수단 영수증
5.30.금,반응 남기기 방문일 5.30.금 2025년 5월 30일 금요일 1번째 방문 인증 수단 영수증
24.8.23.금,홍도여행 가셨는데 여기 안간다?말도 안되요ㅠㅠ  회 진짜 떼깔보세요 세상 싱싱하고 술한잔 곁드리면 극락 소라 매운탕 생선구이 밑반찬 까지 하나도 빠짐없이 진짜 맛있었고 사장님 너무 친절하셔서 홍도 여행내 기분좋은 여행으로 기억이 될정도입니다  음식뿐 아니라 뷰가 ...진짜 사기 아닌가? 이런게 바로 오션뷰 횟집이지 싶었고 거의 뷰가 국내 원탑이에요!  해질녘에 가시는거 추천~ 너무 예쁘고 아름답더라구요
24.6.2.일,섬에선 회를 먹어야죠 맛있어요
24.5.23.목,회가 너무 맛있어요
24.6.3.월,반응 남기기 방문일 24.6.3.월 2024년 6월 3일 월요일 1번째 방문 인증 수단 영수증
24.4.6.토,반응 남기기 방문일 24.4.6.토 2024년 4월 6일 토요일 1번째 방문 인증 수단 영수증
23.10.8.일,친절합니다  숙소 저녁백반 까지 함께~
24.5.16.목,반응 남기기 방문일 24.5.16.목 2024년 5월 16일 목요일 1번째 방문 인증 수단 영수증
24.6.3.월,반응 남기기 방문일 24.6.3.월 2024년 6월 3일 월요일 1번째 방문 인증 수단 영수증
24.4.25.목,바다 전망이 너무 좋아요.
23.10.16.월,친절하고 회도싱싱하고 특별해요
