date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""술이 다양해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
10.4.토,"문경 바람오크 홍익주점덕에 처음 먹어보는데 정말 맛있네요❣️ 기본안주 새우칩이랑 육사시미, 파스타 짬뽕 맛있어요~~ 잘먹고갑니다"
10.4.토,맛있는 안주 맛나는 술 잘생긴 사장님 차분한 분위기 자주 올 것 같아요. 짬뽕파스타 강추 입니다
6.5.목,"기념일에 예약없이 방문! 한우넘버9코스 원래 하루 전에 예약해야하는데 못해서 못먹을줄 알았는데 다행히 고기가 있어서 먹을 수 있었어요ㅎㅎㅎ 스프,샐러드,고기+구운야채,국수,디저트 순으로 나오는데 다 맛있었어요 특히 고기가…🫶🏻 기념일이나 데이트 특별한날 가기 좋아요! 분위기 체고"
6.13.금,"분위기 좋고, 맛있는 안주 가득한 주점입니다!!! 전통주, 와인, 하이볼, 칵테일, 위스키, 무알콜칵테일까지 술 종류가 굉장히 다양해서 더 좋습니다 ㅎㅎ 다만 메뉴가 다양하다보니 처음 보는 것도 많은데 메뉴설명이 좀더 있으면 좋을것같습니다! 도전하는기분으로 주문한 안주가 맛있어요!"
7.11.금,분위기가 너무 좋아서 꼭 다음에 오고싶어요 음식도 너무 맛있습니다!!!❤️ 500일 기념 너무 행복했어요
5.31.토,"왕십리에서 분위기 좋은 술집을 찾아서 너무너무 만족합니다~~ 노래, 안주, 술 모두 잘 어울려요! 다음엔 혼술 하러 올 거 같아요☺️"
3.29.토,여기는 진짜 숨겨진 맛집이에요.🥹 안주가 다른 곳이랑 달라요. 퀄리티가 장난아니에요... 진짜 맛있고 술도 맛있어요ㅠㅠ 사장님께서 모든 것에 신경을 많이 쓴게 느껴져요! 항상 여기에서 먹고 가면 기분이 좋아요~ 가끔 혼자 와서 먹고 가면 힐링돼요~ 진짜 오세요. 절대 후회 안 해요!
9.13.토,이 동네 제일 맛집입니다💕 모든 메뉴 다 먹어볼 거예요
6.13.금,맛난 요리와 사람들과 편히 얘기할 수 있는 공간이라 너무 좋아요! 편하게 느긋이 한잔 하기 좋아요ㅎㅎ
