date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""기본 안주가 좋아요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
"""혼술하기 좋아요""",이 키워드를 선택한 인원
"""직접 잘 구워줘요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""향신료가 강하지 않아요""","""향신료가 강하지 않아요"""
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
6.6.금,불닭 타코야끼 조합 진짜 너무 맛있어요ㅠㅠㅠ 배부른 상태로 갔는데 저거 두번 시켜먹음
6.16.월,친구랑 오랜만에 데이트하러 왔어요♥♥♥ 맛있어요♥♥♥
24.12.30.월,집앞에 있는 존맛 치킨집.. 지난번에 매장에서 한번 먹었는데 메뉴가 다 맛있어서 부모님도 만족허셨어요! 메뉴 한번씩 다 먹어보구싶네요~ 테이크아웃하면 4000원 할인되는것도 개이득인데 프랜차이즈 치킨보다 맛도리bb 마장역 주민분들 다들 이용해주세용.. 치킨뿐 아니라 쫄뱅이같은 사이드도 대애박입니다!!!!!!  테이크아웃하니까 콜라랑 무랑 뭐 이것저것 많이 챙겨주셨는데 친절도 100% 감사합니다:>  +사장님 홍진당 검색해도 매장명이 잘 안떠요ㅠㅠ 마장역 홍진당 쳐도 잘안나와서 검색어가 잘뜨게 어케 안되나 싶네용
24.12.12.목,숯불치킨 너무 맛있어용! 매콤숯불바베큐해서 신라면 맵기인데 딱 좋았어요 생맥도 시원하구👍🏻 기본샐러드도 케요네즈 소스에 콘옥수수까지 있어서 싹싹 먹구 아쉬워서 오뎅탕까지 시켜서 소주랑 2차까지 해결했습니다 !! 사장님도 넘 친절하구 숯불바베큐 강추 🎀
5.29.목,여기서 너무 좋은 추억쌓았어요 늦게까지 술마실수있는 역세권 술집이고 음식들 다 너무 맛있고 분위기도 좋고 ㅎㅎㅎ 최고에요
2.20.목,집 근처리서 가봐야지 가봐야지 했다가 오늘 포장 주문해봤는데 먹었는데 맛있었어요! 친구들이 맛있다고 했었는데 정말 맛있네용 가격듀 포장하면 4000원 할인되고 좋은 것 같아요 ㅎㅎ
24.11.29.금,지나다가 방문~ 오~ 아들이 좋아하는 후라이드 어른우 매콤바베큐직화구이~먹었는데 우동사리들어가공 안주로 딱이네요~ 주전자꼬치어묵도 맛있어용~~~ 튀김 좋은기름 쓰시나봐요~ 감자튀김 치킨완전 깨끗해요~
24.12.28.토,"홍백탕 완전시원하니 맛있고, 우동사리도 넘맛나요~~ 껍데기는 매운데 계속들어가요~!! 껍데기 사진 못찍었어요 ㅠㅠㅠ 맥주 살얼음 끝내줍니다 ㅎㅎ 동네에 이런곳이 생겨 넘넘 좋아요♡♡♡"
24.12.2.월,윙봉 치킨 맛있어요~! 생맥주는 너무너무너무 맛있구요 매일 오고싶어요 ^^
24.12.2.월,3번째 방문이예요. 닭도 신선하고 튀김정도도 딱 좋아요. 파가 있어서 상큼 매콤하게 먹을 수 있어요. 동네에 이런 곳이 생겨서 가폅게 한잔하기 좋아요. 자주 오니까 서비스도 주시고 최고예요.~~~
24.12.13.금,매운바베큐직화구이 존맛탱이네요 너무 맛있어서 술이 계속들어가요!!! 또 오겠습니다!!!
24.10.10.목,"친구가 동네 맛집 생겼다고 해서 방문했는데,분위기 넘 좋쿠! 바베큐 치킨 jmt네요~!! ㅎㅎ 매콤한 소스랑 닭도 잘어울리고 우동도 넘 맛잇습니다~!ㅎㅎㅎㅎ  맥주도 뭔가 다른맥주집과 다르게 시원해서 더 잘 넘어갑니당 ㅋㅋㅋㅋㅋ 담주는 또 가족들 데리고 방문하구요~! 지금 재방문 쿠폰도 주셧는데 사장님 넘 친절하세요! ㅎㅎ"
24.9.24.화,마장동에 이런곳이 생기다니!!!! 대박👍 직화바베큐 완전 보들보들하고 달달하니 매콤해서 맛있어요! 강추 메뉴 우동사리 센스짱이네욤ㅎㅎ 어니언크림치킨으로 매운맛 달래서 조합이 좋구요 얼큰 짬뽕탕 완전 술안주 술도둑ㅎㅎㅎ 살얼음맥주 잔부터 시원해서 최고예요ㅎㅎ
24.11.9.토,매장도 깔끔하고 안주도 너무 맛있습니다!! 동네에 이런 가게가 없어서 아쉬웠는데 너무 좋네요!!
24.12.19.목,생맥도 시원하고 맛있고 메뉴들도 가성비 좋아요! 동네에서 술마시기 좋은곳입니다!
3.4.화,음식도 맛있고 친절하시네요^^
24.12.1.일,홍진당 살얼음맥주 너무 생각나서 저번에 같이 왔던 친구랑 또 방문했어요!! 오늘은 파닭직화구이랑 짜게치 먹었는데 조합 최고입니다. 술 안 마시는 친구도 여러잔 마시게하는 안주+맥주!! 또 올게용
24.10.9.수,오랫만에 친구들과 동네 바베큐집ㅈ왔네요 우리동네 필요했던 젊은감성집인듯합니다 여름에오픈하고 몇번와봤는데 분위기 좋네요 마장동에서 인테리어 감히 최고라고 생각합니다 감자서비스잘먹었습니다 감사합니다
24.9.25.수,"마장역에 최근 새로 생긴 홍진당~1층에 위치해 있어. 창문열어놓고 먹음. 야장 느낌도 나고~ 주말에 역에 내려 집에 갈때마다 보면 사람이 많아서.!? 궁금해 하던중 방문했오요 ^^ 바베큐랑 후라이드치킨, 떡볶이, 튀김~ 등등~ 생각보다 고를 수 있는 메뉴가 많아 회식에도 좋을 것 같구요. 오늘 먹은 간장바베큐 직화 구이는 맵찔이인 저에게도 딱이네요~ 소주에 살얼음도 👍 그리고 틀어주는 음악 라이브 실황 틀어주는데. 감성 돋고 좋아요 ^0^ 실내도 깔끔하고 쾌적해서 마장동 주민으로서 한양대쪽이나 왕십리 안가고 동네에서 한잔하기 좋을 듯 하네요~ 추천용"
24.12.1.일,친구하고 술한잔 하기 좋습니다 파닭이 맛있습니다. 사장님 친절하게 소스도 여유있게 가져다주셨습니다
24.11.7.목,"살얼음 생맥주에 직화닭구이, 가성비 최고의 사이드메뉴… 환상입니다."
24.9.29.일,못해도 2주에 한번은 방문하는 곳이에요!!! 오늘은 새로운 메뉴 주문했는데 진짜 소주 안주 그 자체에요…>_< 동네에 이런 맛집이 있어서 넘 행벅해여….😍
24.12.16.월,사장님 흑백요리사 나왔으면 1등 가능 진짜 치킨이 이렇게까지 맛있다니 이건 세계에서 여행오면 마장동 와서 소고기 가 아니라 치킨 먹으러 와야할 정도에요 알바 아니고 진짜 리뷰 입니다 꼭 한번 드시러 오셔서 맛보시면 나랑 같은 리뷰 달겁니다
