date,content
8.21.목,떡 정말 맛있게 만들어줘요. 친절하시고요.
8.21.목,쌀 가져가서 떡 만들었는데 너무 맛있어요
23.11.30.목,그동안 중국산 참기름만 먹다가 국산은 처음 먹어보는데 국산은 역시 다르더라고요 ㅎㅎ 너무 고소하고 맛있어서 이제 중국산 못먹을것 같아요~~~
22.10.22.토,반응 남기기 방문일 22.10.22.토 2022년 10월 22일 토요일 1번째 방문 인증 수단 영수증
22.10.15.토,반응 남기기 방문일 22.10.15.토 2022년 10월 15일 토요일 3번째 방문 인증 수단 영수증
22.10.15.토,반응 남기기 방문일 22.10.15.토 2022년 10월 15일 토요일 6번째 방문 인증 수단 영수증
22.9.9.금,반응 남기기 방문일 22.9.9.금 2022년 9월 9일 금요일 1번째 방문 인증 수단 영수증
22.9.9.금,반응 남기기 방문일 22.9.9.금 2022년 9월 9일 금요일 1번째 방문 인증 수단 영수증
22.9.9.금,반응 남기기 방문일 22.9.9.금 2022년 9월 9일 금요일 1번째 방문 인증 수단 영수증
22.7.14.목,반응 남기기 방문일 22.7.14.목 2022년 7월 14일 목요일 1번째 방문 인증 수단 영수증
22.2.4.금,반응 남기기 방문일 22.2.4.금 2022년 2월 4일 금요일 2번째 방문 인증 수단 영수증
22.1.10.월,반응 남기기 방문일 22.1.10.월 2022년 1월 10일 월요일 1번째 방문 인증 수단 영수증
21.11.23.화,반응 남기기 방문일 21.11.23.화 2021년 11월 23일 화요일 5번째 방문 인증 수단 영수증
21.9.20.월,추석이라 송편 사러왔네요 집에서 가는곳이라 자주가는데 맛있고 좋아요
21.9.20.월,송편 시식맛보고 사왔어요 맛있네요
21.3.16.화,이사와서 처음 ㅅㅣ켜봤는데 꿀떡 맛있네유ㅋㅋ
21.3.7.일,참기름 들기름은 항상 이집에서 사서먹는데 제일 맛있는 것 같아요.
21.2.1.월,반응 남기기 방문일 21.2.1.월 2021년 2월 1일 월요일 2번째 방문 인증 수단 영수증
21.2.1.월,반응 남기기 방문일 21.2.1.월 2021년 2월 1일 월요일 4번째 방문 인증 수단 영수증
20.12.21.월,반응 남기기 방문일 20.12.21.월 2020년 12월 21일 월요일 3번째 방문 인증 수단 영수증
20.12.21.월,친절하고 맛있네요 담번에도 갈거에요
20.12.21.월,맛있게 잘해서 좋아요
20.11.28.토,반응 남기기 방문일 20.11.28.토 2020년 11월 28일 토요일 1번째 방문 인증 수단 영수증
20.11.28.토,반응 남기기 방문일 20.11.28.토 2020년 11월 28일 토요일 1번째 방문 인증 수단 영수증
20.8.31.월,반응 남기기 방문일 20.8.31.월 2020년 8월 31일 월요일 1번째 방문 인증 수단 영수증
20.7.16.목,국산 참기름 좋아요
