date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
23.4.27.목,반응 남기기 방문일 23.4.27.목 2023년 4월 27일 목요일 1번째 방문 인증 수단 영수증
23.4.27.목,반응 남기기 방문일 23.4.27.목 2023년 4월 27일 목요일 1번째 방문 인증 수단 영수증
23.4.2.일,반응 남기기 방문일 23.4.2.일 2023년 4월 2일 일요일 1번째 방문 인증 수단 영수증
22.11.6.일,반응 남기기 방문일 22.11.6.일 2022년 11월 6일 일요일 1번째 방문 인증 수단 영수증
22.12.8.목,반응 남기기 방문일 22.12.8.목 2022년 12월 8일 목요일 1번째 방문 인증 수단 영수증
22.11.18.금,반응 남기기 방문일 22.11.18.금 2022년 11월 18일 금요일 1번째 방문 인증 수단 영수증
22.8.4.목,반응 남기기 방문일 22.8.4.목 2022년 8월 4일 목요일 1번째 방문 인증 수단 영수증
22.8.1.월,반응 남기기 방문일 22.8.1.월 2022년 8월 1일 월요일 1번째 방문 인증 수단 영수증
22.6.4.토,깔끔한 한 끼!
22.5.30.월,반응 남기기 방문일 22.5.30.월 2022년 5월 30일 월요일 1번째 방문 인증 수단 영수증
22.5.21.토,반응 남기기 방문일 22.5.21.토 2022년 5월 21일 토요일 1번째 방문 인증 수단 영수증
21.12.24.금,동료들과 자주 갑니다. 족발보쌈 다 맛있어요
22.1.30.일,반응 남기기 방문일 22.1.30.일 2022년 1월 30일 일요일 1번째 방문 인증 수단 영수증
21.12.1.수,반응 남기기 방문일 21.12.1.수 2021년 12월 1일 수요일 2번째 방문 인증 수단 영수증
21.11.11.목,족발 보쌈 모두 맛있어요
21.10.29.금,반응 남기기 방문일 21.10.29.금 2021년 10월 29일 금요일 2번째 방문 인증 수단 영수증
21.3.13.토,반응 남기기 방문일 21.3.13.토 2021년 3월 13일 토요일 1번째 방문 인증 수단 영수증
20.9.1.화,"족발집인데 족발이 없대요 근데 옆테이블에서는 족발을 드시고 족발 배달도 나가더라구요(???) 보쌈 맛있다하셔서 속는셈치고 먹어봤는데 역시나 속았네요.. 고기가 질기고 퍽퍽, 비계는 느끼해요."
