date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
24.12.2.월,"7500원 갓성비 뷔페  가끔나오는 특식 조기, 코다리조림 등.. 너무 맛있음"
24.4.19.금,점심시간 한식백반 적극 추천합니다
24.10.4.금,반응 남기기 방문일 24.10.4.금 2024년 10월 4일 금요일 31번째 방문 인증 수단 영수증
24.3.18.월,점심 한식부페 가성비 짱입니다
24.9.10.화,직장인 한식뷔페 맛집
24.9.2.월,점심 뷔페 맛집
24.8.13.화,점심 뷔페 제육 맛집!
24.8.5.월,반응 남기기 방문일 24.8.5.월 2024년 8월 5일 월요일 27번째 방문 인증 수단 영수증
24.8.2.금,반응 남기기 방문일 24.8.2.금 2024년 8월 2일 금요일 26번째 방문 인증 수단 영수증
24.7.16.화,가끔 돈까스 나오는데 맛있구요. 당일 메뉴를 알수없어서 아쉽다
24.7.8.월,한식뷔페 제육볶음 맛집입니다.
24.7.30.화,반응 남기기 방문일 24.7.30.화 2024년 7월 30일 화요일 25번째 방문 인증 수단 영수증
24.7.29.월,반응 남기기 방문일 24.7.29.월 2024년 7월 29일 월요일 24번째 방문 인증 수단 영수증
24.7.24.수,반응 남기기 방문일 24.7.24.수 2024년 7월 24일 수요일 23번째 방문 인증 수단 영수증
24.7.23.화,반응 남기기 방문일 24.7.23.화 2024년 7월 23일 화요일 22번째 방문 인증 수단 영수증
24.7.18.목,갓성비 뚝섬 한식뷔페
24.6.27.목,반응 남기기 방문일 24.6.27.목 2024년 6월 27일 목요일 17번째 방문 인증 수단 영수증
24.6.4.화,점심뷔페 가성지 맛집 주로 제육볶음 나옴
24.7.11.목,반응 남기기 방문일 24.7.11.목 2024년 7월 11일 목요일 19번째 방문 인증 수단 영수증
24.4.29.월,가성비 한식뷔페 맛집
24.6.12.수,반응 남기기 방문일 24.6.12.수 2024년 6월 12일 수요일 16번째 방문 인증 수단 영수증
24.4.22.월,반응 남기기 방문일 24.4.22.월 2024년 4월 22일 월요일 13번째 방문 인증 수단 영수증
24.4.15.월,반응 남기기 방문일 24.4.15.월 2024년 4월 15일 월요일 11번째 방문 인증 수단 영수증
24.4.4.목,반응 남기기 방문일 24.4.4.목 2024년 4월 4일 목요일 10번째 방문 인증 수단 영수증
24.4.2.화,반응 남기기 방문일 24.4.2.화 2024년 4월 2일 화요일 9번째 방문 인증 수단 영수증
24.3.28.목,점심 한식뷔페 맛집!
24.3.18.월,반응 남기기 방문일 24.3.18.월 2024년 3월 18일 월요일 7번째 방문 인증 수단 영수증
24.3.15.금,가성비 한식뷔피 맛집
24.2.27.화,점심 한식뷔페 갓성비 끝판왕입니다.
24.2.22.목,가성비 최고의 한식뷔페 7500원으로 집밥먹는 퀄리티입니다.
24.3.4.월,7500원 한식뷔페 갓성비
24.4.19.금,반응 남기기 방문일 24.4.19.금 2024년 4월 19일 금요일 12번째 방문 인증 수단 영수증
24.2.14.수,점심뷔페 너무맛있어요. 가격도 너무 착해요^^
24.3.6.수,반응 남기기 방문일 24.3.6.수 2024년 3월 6일 수요일 5번째 방문 인증 수단 영수증
23.8.28.월,반응 남기기 방문일 23.8.28.월 2023년 8월 28일 월요일 1번째 방문 인증 수단 영수증
23.5.25.목,계산을 자율로 하는데 주인분께 확인받으세요.
23.5.10.수,근처에 먹을만한 곳이 거의 여기뿐입니다
23.6.2.금,점심 먹을만한 곳입니다.
23.5.3.수,혼자 가도 이상하지 않는 한식 부페집입니다.
23.4.27.목,점심때 붐벼요. 가성비는 좋은 편입니다.
23.3.9.목,친절하고 가성비가 좋습니다
23.3.17.금,반응 남기기 방문일 23.3.17.금 2023년 3월 17일 금요일 5번째 방문 인증 수단 영수증
23.2.15.수,반응 남기기 방문일 23.2.15.수 2023년 2월 15일 수요일 2번째 방문 인증 수단 영수증
