date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
6.1.일,일주일에드번은 먹게 됩니다 가성비 최고입니다 맛있어요
6.16.월,가성비 최고입니다 맛있고 친절한 치킨집👍🏻
6.29.일,오늘도 맛있게 먹었습니다
6.11.수,늘 한결같은 맛입니다 맛있어요👍🏻
8.1.금,반응 남기기 방문일 8.1.금 2025년 8월 1일 금요일 19번째 방문 인증 수단 영수증
5.29.목,가성비 좋습니다 친절한 맛집 👍🏻
7.25.금,"매번 스트레스가 있을때 시켜 먹는 치킨집입니다. 가격이 올라서 좀 아쉽지만, 튀김도 빠삭하고 질리지않는 기본 후라이드의 맛 좋아요"
5.20.화,친절한 맛집입니다 후라이드 최고 👍🏻
4.10.목,친절하고 맛있는집👍🏻 후라이드 바삭하고 맛있네요 다른 지점보다 친절해서 좋아요
4.30.수,친절한 후라이드 맛집 👍🏻
5.10.토,맛있고 친절한 치킨집👍🏻👍🏻
5.15.목,맛이 조금 변한것 같네요... 아쉽&속상... 서울슾 근방에서 후라이드 제일 좋아하는 가겐데 ㅠㅠ
4.13.일,다른지점보다 맛있어요 당분간 성수점에서만 먹겠습니다
2.26.수,맛있게 먹다보니 사진을 늦게 찍어서 좀 그러네요~^^
4.6.일,이젠 이집마저도 가격이...ㅠㅜ
2.14.금,가성비 좋아서 자주 포장 구매합니다. 친절하시구 주문하면 바로바로 만들어 주셔셔 바삭하고 맛잇어요. 15분 이면 포장구매 완료~!!
4.28.월,반응 남기기 방문일 4.28.월 2025년 4월 28일 월요일 38번째 방문 인증 수단 영수증
24.12.2.월,후참잘도 지점마다 맛이 다름 성동에서는 성수점이 맛집 픽업하면 더 쌈 굿! 퇴근후 후참잘 한마리와 맥주 두어캔도 굿!
3.29.토,반응 남기기 방문일 3.29.토 2025년 3월 29일 토요일 37번째 방문 인증 수단 영수증
3.28.금,반응 남기기 방문일 3.28.금 2025년 3월 28일 금요일 36번째 방문 인증 수단 영수증
24.9.13.금,집 바로앞이 후참인데 맨날 퇴근하고 지나만 가다가 오늘은 구매. 완전 갓 나온 치킨 먹으니 육즙이 와르르르르. 양념많이 뭍어있는거 싫어서 살짝만 뭍혀달라고 했는데 아주 맛있고 딱 내가 원하는 그 상태!! 진짜 존맛탱임. 치세권이라 너무 좋음.
24.11.30.토,편리하고 이용하기 좋아요
24.12.7.토,반응 남기기 방문일 24.12.7.토 2024년 12월 7일 토요일 6번째 방문 인증 수단 영수증
24.12.5.목,반응 남기기 방문일 24.12.5.목 2024년 12월 5일 목요일 16번째 방문 인증 수단 영수증
24.9.28.토,포장 주문했는데 생각보다 빨리 나왔고 길 가다가 주문한거라 큰 기대가 없었는데 저어어엉말 맛있었어요 반반치킨 시켰습니당
24.11.5.화,반응 남기기 방문일 24.11.5.화 2024년 11월 5일 화요일 15번째 방문 인증 수단 영수증
24.8.14.수,반응 남기기 방문일 24.8.14.수 2024년 8월 14일 수요일 13번째 방문 인증 수단 영수증
24.10.30.수,반응 남기기 방문일 24.10.30.수 2024년 10월 30일 수요일 35번째 방문 인증 수단 영수증
24.10.26.토,반응 남기기 방문일 24.10.26.토 2024년 10월 26일 토요일 34번째 방문 인증 수단 영수증
24.10.21.월,반응 남기기 방문일 24.10.21.월 2024년 10월 21일 월요일 33번째 방문 인증 수단 영수증
24.9.12.목,반응 남기기 방문일 24.9.12.목 2024년 9월 12일 목요일 14번째 방문 인증 수단 영수증
24.7.25.목,이 집 너무 맛있어요!! 특히 후라이드 너무너무 강추!
24.3.23.토,가격도 합리적인데 양도 많고 너무너무 맛있어요!
24.4.20.토,반응 남기기 방문일 24.4.20.토 2024년 4월 20일 토요일 1번째 방문 인증 수단 영수증
24.2.13.화,포장도 엄청빠르고 가성비 👍 맵달킹 신메뉴 너무맛있어요!
