date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
24.10.28.월,오랜만에 문열어서 바로 먹었습니다!! 역시 촉촉 바삭 맛있어요 ㅎㅎ
24.7.15.월,마쉿어요!!! 역시 치킨!!! 빨리 나와서 너무 좋아용 ㅎㅎ
24.12.4.수,반응 남기기 방문일 24.12.4.수 2024년 12월 4일 수요일 8번째 방문 인증 수단 영수증
24.6.11.화,빨리나오고 깔끔하고 맛있어요!! 핫도그 맛있어용!!! ㅎㅎ
24.5.31.금,항상 포장 주문하는데 빨리 나와서 너무 좋아요!! 양도 많고 고기도 너무 부드러워요 ㅎㅎ 맛있어욥
24.6.8.토,후라이드 맛있고 양념도 맛있네요.
24.4.7.일,반응 남기기 방문일 24.4.7.일 2024년 4월 7일 일요일 8번째 방문 인증 수단 영수증
24.3.17.일,왕십리 늘 애용하는 곳 맛있어요 ~
24.4.7.일,포장하면 12000원 너무 좋아요
24.3.1.금,오.. 허니버터치킨 진짜 달아요. 단 치킨 ( 뿌링클 등 ) 좋아하는 사람인데도 조금 빡센 정도? 가성비 좋아요
24.5.10.금,반응 남기기 방문일 24.5.10.금 2024년 5월 10일 금요일 1번째 방문 인증 수단 영수증
23.12.22.금,후라이드 살짝 매콤 바사삭 너무 맛있어요 ^^ 맥주 안주로 최곤데요 !
24.3.3.일,반응 남기기 방문일 24.3.3.일 2024년 3월 3일 일요일 7번째 방문 인증 수단 영수증
24.4.16.화,동네 후라이드 맛집
24.1.13.토,가격이 저렴해도 맛있어요
24.4.27.토,반응 남기기 방문일 24.4.27.토 2024년 4월 27일 토요일 7번째 방문 인증 수단 영수증
24.1.5.금,후라이드맛집! 천원 올랐지만 그래도 가성비 굿!
24.3.23.토,반응 남기기 방문일 24.3.23.토 2024년 3월 23일 토요일 6번째 방문 인증 수단 영수증
24.2.18.일,반응 남기기 방문일 24.2.18.일 2024년 2월 18일 일요일 6번째 방문 인증 수단 영수증
24.3.10.일,반응 남기기 방문일 24.3.10.일 2024년 3월 10일 일요일 4번째 방문 인증 수단 영수증
24.3.8.금,반응 남기기 방문일 24.3.8.금 2024년 3월 8일 금요일 1번째 방문 인증 수단 영수증
24.1.27.토,반응 남기기 방문일 24.1.27.토 2024년 1월 27일 토요일 2번째 방문 인증 수단 영수증
24.1.28.일,반응 남기기 방문일 24.1.28.일 2024년 1월 28일 일요일 5번째 방문 인증 수단 영수증
24.2.18.일,반응 남기기 방문일 24.2.18.일 2024년 2월 18일 일요일 5번째 방문 인증 수단 영수증
24.1.1.월,반응 남기기 방문일 24.1.1.월 2024년 1월 1일 월요일 4번째 방문 인증 수단 영수증
23.7.16.일,방문포장하면요 후라이드 +양념치킨 두개해도 2만원초반이에요 다른치킨 배달비내고 먹는것보다 가성비 맛 포장 뭐하나 빠지는거 없고 10분도 안되서 포장되어 있어요 🫶 심지어 양념치킨소스를 엄청 넣어줍니다 그래서 먹을때 호일빼서 접시에 올려먹어요  사장님인거 같은데 여자분이 팔에 화상이 많더라구요 기름이 얼마나 아팠을까요 ㅜㅜ 젊으신 나이에 열심히 하는모습이 존경스럽습니다 번창하세요
23.10.29.일,반응 남기기 방문일 23.10.29.일 2023년 10월 29일 일요일 3번째 방문 인증 수단 영수증
24.1.14.일,반응 남기기 방문일 24.1.14.일 2024년 1월 14일 일요일 4번째 방문 인증 수단 영수증
23.12.22.금,반응 남기기 방문일 23.12.22.금 2023년 12월 22일 금요일 1번째 방문 인증 수단 영수증
23.10.3.화,반응 남기기 방문일 23.10.3.화 2023년 10월 3일 화요일 10번째 방문 인증 수단 영수증
