date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
9.13.토,"디저트 가격 대비 퀄이 좋고 맛있음!! 커피 가격도 좋음! 내부 인테리어도 적당히 요즘 스타일😉 휘낭시에 3종, 에그타르트가 남아 있어서 에그타르트는 포장~"
2.13.목,프렌치토스트 너무 맛있어요.. 알바분도 너무 친절하시고 잘먹고 잘마시고 갑니다 👍🏻👍🏻 느좋카페로 추천합니다!
24.4.30.화,성수동네카페토스트맛집 후피커피 성수동 메인 카페거리에선 조금 거리가 있지만 파란색으로 예쁘게 꾸며진 작은 동네카페인데 여기 커피랑 토스트가 정말 맛있어요 커피는 적당한 산미에 고소함이 좋은 누구나 좋아할 만한 커피만인데 깔끔하고 디저트류에 잘 어울리는 기름기 싹 잡아주는 맛이었어요 블루베리크림치즈토스트는 빵 사이사이 블루베리와 크림치즈가 들어가 풍미좋고 사장님이 직접 주문받고 구워서 주시는데 버터도 적당하고 달달함과 고소함이 너무 좋은 촉촉한 토스트였습니다 신메뉴로 카야토스트도 시작하셨는데 담엔 꼭 먹어보려구요 아침 식사로도 좋고 간식으로도 너무 좋을것 같아요 가격도 너무 좋구 가까이 살면 자주 가고싶은 카페입니다 사장님도 친절하시고 기분 좋아지는 곳이에요 성수동네카페로 추천드립니다
24.10.4.금,퇴근할 때 자주 네이버주문으로 커피 마십니다. 쿠폰도 있어서 10잔 마시면 1잔 무료에요
24.8.4.일,집에서 가장 가까운 까페에서 시원한 수박주스 한잔 찾아온 분과 이야기 나누기 좋네요
24.8.11.일,지인이 방문하면 조용하게 이야기 나누기에 좋은 곳이에요~~
24.1.21.일,"지인과 만남이 있어 구길에 갔어요. 이번이 두 번째 방문이네요. 가게 안과 밖에 스마일 로고가 반갑게 맞이 합니다. 매장은 작지만 블루와 화이트로 깔끔하고 아기자기한 소품들이 있습니다. 스노우볼과 산타 인형들도 귀엽네요. 테이블마다 트리도 있어요. 테이블은 2인 테이블 3개, 4인 테이블이 하나 준비되어 있어요. 주말이라 점심시간에는 붐비더군요. 잠깐 비는 시간에 사진을 찍어보았어요. 쇼케이스 안에 구움 과자와 에그타르트, 휘낭시에도 있고 지난 번에 없던 케이크도 추가가 되었네요. 커피도 좋은 원두를 써서 그런지 맛있답니다. 가격도 착해요~ 아메리카노는 향도 좋고, 카페 라떼도 부드럽네요. 쿠키는 선물용으로도 많이 구매한다고 합니다. 지난번에 먹었던 음료 사진도 함께 첨부했어요."
