date,content
"""빵이 맛있어요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""종류가 다양해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
8.21.목,"오랜만에 찾은 짭잘 달달류 잘하는 빵집. 근처에서 점심먹고 디저트 머먹지 고민하다 찾은곳입니다 우선 성수에서 이런 가성비있는 빵집 처음보는거같습니다 거기다 맛있어요 작은빵하나에 안에 든것도 없는빵이 기본 5천원 넘어가는 성수에서 보석을 찾았네요 크로와상, 페스츄리류 정말 잘하는 곳이고 과할거같은 토핑 듬뿍, 내용물 꽉채운 빵들이 전혀 과하지않습니다 전반적으로 바삭하고 쫀득한 페스츄리에서 버터의 향긋한 고소함이 기분좋고 겉에 달달한 코팅도 너무 달지 않습니다 사라다는 적당히 으깬 감자가 촉촉하며 달고 토핑의 아삭한 식감이 더해져 식사러 먹기 좋습니다 겉윗부분의 페스츄리가 굉장히 바삭해서 좋습니다 올리브는 알맹이가 크고 은은한 단맛이 매력적이며 페스츄리 층이 매우 잘느껴집니다 빨미까레도 매우 맛있어요"
