date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
10.16.목,반응 남기기 방문일 10.16.목 2025년 10월 16일 목요일 1번째 방문 인증 수단 영수증
3.11.화,반응 남기기 방문일 3.11.화 2025년 3월 11일 화요일 1번째 방문 인증 수단 영수증
4.2.수,반응 남기기 방문일 4.2.수 2025년 4월 2일 수요일 1번째 방문 인증 수단 영수증
3.15.토,반응 남기기 방문일 3.15.토 2025년 3월 15일 토요일 1번째 방문 인증 수단 영수증
24.5.4.토,코다리찜집이 새로 생겼내요 코다리가 큼직하고 비리지 않아서 먹기 좋내요 양념이 좀 자극적이라 밥에 비벼먹으면 맛있어요
24.7.11.목,반응 남기기 방문일 24.7.11.목 2024년 7월 11일 목요일 1번째 방문 인증 수단 영수증
24.7.19.금,맛있었어요 ㅎ ㅎ
24.3.7.목,반응 남기기 방문일 24.3.7.목 2024년 3월 7일 목요일 1번째 방문 인증 수단 영수증
24.7.11.목,반응 남기기 방문일 24.7.11.목 2024년 7월 11일 목요일 1번째 방문 인증 수단 영수증
24.1.9.화,사장님 솜씨가 좋네요. 맛있게 잘먹었어요.
23.12.12.화,생긴지얼마안되서 반신반의하고 들어간집~~ 그집이 맛집일줄이야.. 외진길에있어서 장사가안될까걱정했는데 음식솜씨가 좋아서 어느순간 사람들로북적임 밑반찬도맛있고 특히나 코다리찜이 제일맛있음 얼큰하기도하고 특히나 맨뒤에 숭늉까지 주는센스~!!! 이가격에 한상차림 없을꺼임!!
24.6.13.목,반응 남기기 방문일 24.6.13.목 2024년 6월 13일 목요일 1번째 방문 인증 수단 영수증
23.12.19.화,반응 남기기 방문일 23.12.19.화 2023년 12월 19일 화요일 1번째 방문 인증 수단 영수증
24.1.20.토,반응 남기기 방문일 24.1.20.토 2024년 1월 20일 토요일 3번째 방문 인증 수단 영수증
24.1.4.목,반응 남기기 방문일 24.1.4.목 2024년 1월 4일 목요일 2번째 방문 인증 수단 영수증
